epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
1,1,,,,,,,0,8,43,21.4,210,405,30,0,12.2,28.21,0.23,0.61,2.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,94,71,43,24.3,300,405,30,0,15.1,28.21,0.0,1.52,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.406357,0.622459,0.963042,0.924062,0.00100000,45.2,,,,,,,,,,,,,,0,47.0,94,8,39.5,71,43,43.0,43,21.4,22.85,24.3,255.0,405.0,30.0,0,12.2,13.65,15.1,28.21,28.21,28.21,63.16,0.0,0.12,0.23,0.61,1.06,1.52,12.536,14.012,2.412,2.42,2.42,15.992,44.22,0.62
2,1,,,,,,,1,1,44,45.7,2760,10801,30,0,54.7,28.34,0.0,34.76,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,34,13,45,71.2,2760,10801,30,0,7.0,28.34,0.0,0.0,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,0.527384,0.947564,0.327776,0.989021,0.00100000,0.6,,,,,,,,,,,,,,1,17.5,34,1,7.0,13,44,44.5,45,45.7,58.45,71.2,2760.0,10801.0,30.0,0,7.0,30.85,54.7,28.34,28.34,28.34,63.16,0.0,0.0,0.0,0.0,17.38,34.76,12.536,14.012,2.42,2.42,2.42,15.992,0.21,0.14
3,1,,,,,,,5,2,45,84.2,2760,10801,30,0,60.8,28.34,0.0,0.0,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,5,2,45,84.2,2760,10801,30,0,11.8,28.33,0.0,0.11,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,0.428174,0.964182,0.320980,0.992681,0.00100000,0.6,,,,,,,,,,,,,,5,5.0,5,2,2.0,2,45,45.0,45,84.2,84.2,84.2,2760.0,10801.0,30.0,0,11.8,36.3,60.8,28.33,28.34,28.34,63.16,0.0,0.0,0.0,0.0,0.06,0.11,12.536,14.012,2.417,2.42,2.417,15.992,0.17,0.15
4,1,,,,,,,14,3,45,91.8,2760,10801,30,0,57.5,28.33,0.0,0.0,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,74,28,49,89.5,2760,10801,30,0,9.1,28.33,0.0,0.0,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,summary,0.387012,0.977412,0.320363,0.991766,0.00100000,0.6,,,,,,,,,,,,,,14,44.0,74,3,15.5,28,45,47.0,49,89.5,90.65,91.8,2760.0,10801.0,30.0,0,9.1,33.3,57.5,28.33,28.33,28.33,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.417,2.42,2.417,15.992,0.2,0.14
5,1,,,,,,,0,1,45,83.9,2760,10801,30,0,56.6,28.33,0.0,0.29,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,0,1,45,83.9,2760,10801,30,0,7.9,28.33,0.0,0.76,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,summary,0.366584,0.980962,0.317506,0.991766,0.00100000,0.6,,,,,,,,,,,,,,0,0.0,0,1,1.0,1,45,45.0,45,83.9,83.9,83.9,2760.0,10801.0,30.0,0,7.9,32.25,56.6,28.33,28.33,28.33,63.16,0.0,0.0,0.0,0.29,0.53,0.76,12.536,14.012,2.406,2.41,2.406,15.992,0.19,0.14
6,1,,,,,,,42,9,51,93.5,2760,10801,30,0,60.2,28.32,0.0,0.0,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,,,,,,42,9,51,93.5,2760,10801,30,0,6.4,28.33,0.0,0.0,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,summary,0.367339,0.979348,0.317658,0.991766,0.00100000,0.6,,,,,,,,,,,,,,42,42.0,42,9,9.0,9,51,51.0,51,93.5,93.5,93.5,2760.0,10801.0,30.0,0,6.4,33.3,60.2,28.32,28.32,28.33,63.16,0.0,0.0,0.0,0.0,0.0,0.0,12.536,14.012,2.406,2.41,2.406,15.992,0.16,0.14
7,1,,,,,,,0,1,47,89.6,2760,10801,30,0,58.1,28.32,0.0,0.0,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,,,,,,37,15,45,88.2,2760,10801,30,0,9.5,28.32,0.0,0.0,2.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
