epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,0.969950,0.761276,0.316583,0.992444,0.00100000,186.0,98,99.2,100,68,76.6,82,66,69.2,72,232.1,235.04,237.6,2739.0,10801.0,33.8,0,7.0,13.8,18.4,29.7,29.72,29.73,63.16,0.0,0.01,0.02,0.02,0.07,0.2,11.304,14.227,45.01,56.37
2,0.439669,0.952519,0.301376,0.995667,0.00100000,398.9,100,100.0,100,3,4.8,7,51,52.2,53,104.2,106.04,111.6,2745.0,10801.0,30.0,0,5.7,8.02,11.6,32.47,32.51,32.54,63.16,0.0,0.02,0.11,0.04,0.63,2.61,11.305,17.467,1.75,315.12
3,0.391526,0.968179,0.297701,0.996222,0.00100000,393.3,100,100.0,100,3,4.2,5,51,51.0,51,104.1,106.0,109.2,2760.0,10801.0,30.0,0,5.8,7.82,10.4,32.44,32.45,32.47,63.16,0.0,0.02,0.1,0.06,0.66,2.68,11.305,17.467,1.73,309.64
4,0.373862,0.973945,0.295753,0.996667,0.00100000,393.2,100,100.0,100,2,4.4,7,51,51.0,51,103.7,106.52,116.9,2745.0,10801.0,30.0,0,5.7,7.78,10.7,32.46,32.48,32.5,63.16,0.0,0.0,0.0,0.04,0.65,2.71,11.305,17.467,1.71,309.55
5,0.362188,0.977427,0.293916,0.997222,0.00100000,392.4,100,100.0,100,2,8.2,17,50,51.0,52,104.5,109.56,116.6,2745.0,10801.0,30.0,0,5.8,7.78,10.5,32.47,32.48,32.5,63.16,0.0,0.01,0.04,0.05,0.65,2.7,11.305,17.467,1.73,308.92
6,0.355620,0.979517,0.292822,0.997556,0.00100000,448.5,100,100.0,100,2,9.0,16,49,50.2,51,98.7,107.88,117.0,2760.0,10801.0,30.0,0,6.2,8.22,10.5,32.44,32.99,33.46,63.16,0.0,0.08,0.23,0.08,0.85,2.69,11.305,17.467,1.8,362.69
7,0.349497,0.981469,0.291638,0.997667,0.00100000,422.6,100,100.0,100,3,7.6,13,49,49.4,50,100.6,106.34,113.1,2760.0,10801.0,30.0,0,7.4,8.08,10.3,32.82,32.84,32.85,63.16,0.0,7.96,39.67,0.05,1.96,6.25,11.305,17.467,1.66,336.7
8,0.344696,0.982962,0.290628,0.998222,0.00100000,420.2,100,100.0,100,2,3.2,6,49,49.4,50,100.5,101.26,101.9,2760.0,10801.0,30.0,0,5.7,7.62,10.5,31.95,32.01,32.05,63.16,0.0,0.0,0.02,0.04,0.66,3.04,11.305,17.467,1.57,334.81
9,0.341217,0.983878,0.290087,0.998111,0.00100000,420.8,100,100.0,100,3,5.0,8,49,49.0,49,99.5,101.26,103.0,2760.0,10801.0,30.0,0,5.6,7.56,10.3,31.96,31.98,31.99,63.16,0.0,0.03,0.1,0.05,0.66,3.01,11.305,17.467,1.62,335.28
10,0.338027,0.984857,0.289350,0.998444,0.00100000,421.3,100,100.0,100,2,5.6,13,49,49.0,49,101.2,102.6,107.0,2760.0,10801.0,30.0,0,6.1,7.66,10.2,31.97,31.98,31.99,63.16,0.0,0.0,0.0,0.05,0.66,3.02,11.305,17.467,1.56,335.55
