epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb,nvsmi_vram_total_gb,data_wait_s,compute_s
1,1,,,,,,,4,29,43,20.9,210,405,30,0,8.9,25.76,0.13,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,68,69,48,23.9,2565,10801,30,0,10.9,25.78,0.54,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.093553,0.424814,2.303173,0.097896,0.00106667,45.9,,,,,,,,,,,,,4,36.0,68,29,49.0,69,43,45.5,48,20.9,22.4,23.9,1387.5,5603.0,30.0,0,8.9,9.9,10.9,25.76,25.77,25.78,63.16,0.13,0.34,0.54,0.0,0.13,0.26,0.297,0.402,1.409,15.992,45.16,0.6
2,1,,,,,,,7,3,46,68.1,2760,10801,30,0,56.7,25.85,0.0,26.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,7,3,46,68.1,2760,10801,30,0,8.5,25.86,0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.774794,0.676509,2.045958,0.815188,0.00213333,0.5,,,,,,,,,,,,,7,7.0,7,3,3.0,3,46,46.0,46,68.1,68.1,68.1,2760.0,10801.0,30.0,0,8.5,32.6,56.7,25.85,25.86,25.86,63.16,0.0,0.04,0.08,0.0,13.3,26.61,0.297,0.43,1.409,15.992,0.19,0.25
3,1,,,,,,,62,19,50,118.6,2760,10801,30,0,60.2,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,71,21,57,116.3,2760,10801,30,0,10.9,25.86,0.15,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,1.178823,0.817683,0.623122,0.964318,0.00320000,0.6,,,,,,,,,,,,,62,66.5,71,19,20.0,21,50,53.5,57,116.3,117.45,118.6,2760.0,10801.0,30.0,0,10.9,35.55,60.2,25.86,25.86,25.86,63.16,0.0,0.07,0.15,0.0,0.09,0.18,0.297,0.43,1.409,15.992,0.21,0.25
4,1,,,,,,,71,21,57,116.3,2760,10801,30,0,57.0,25.85,0.0,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,5,2,47,109.5,2760,10801,30,0,9.1,25.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,summary,0.622147,0.915295,0.364213,0.979872,0.00426667,0.5,,,,,,,,,,,,,5,38.0,71,2,11.5,21,47,52.0,57,109.5,112.9,116.3,2760.0,10801.0,30.0,0,9.1,33.05,57.0,25.85,25.86,25.86,63.16,0.0,0.0,0.0,0.0,11.11,22.22,0.297,0.43,1.409,15.992,0.21,0.24
5,1,,,,,,,4,2,47,129.6,2760,10801,30,0,59.1,25.85,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,4,2,47,129.6,2760,10801,30,0,6.6,25.86,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,summary,0.418290,0.965150,0.365963,0.983532,0.00533333,0.5,,,,,,,,,,,,,4,4.0,4,2,2.0,2,47,47.0,47,129.6,129.6,129.6,2760.0,10801.0,30.0,0,6.6,32.85,59.1,25.85,25.86,25.86,63.16,0.0,0.01,0.01,0.0,0.0,0.0,0.297,0.43,1.409,15.992,0.19,0.24
6,1,,,,,,,14,5,48,131.8,2760,10801,30,0,62.1,25.87,0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,,,,,,14,5,48,131.8,2760,10801,30,0,12.0,25.85,0.12,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,summary,0.391010,0.976283,0.350450,0.990851,0.00640000,0.5,,,,,,,,,,,,,14,14.0,14,5,5.0,5,48,48.0,48,131.8,131.8,131.8,2760.0,10801.0,30.0,0,12.0,37.05,62.1,25.85,25.86,25.87,63.16,0.09,0.1,0.12,0.0,7.92,15.85,0.297,0.43,1.409,15.992,0.19,0.25
7,1,,,,,,,74,22,51,129.2,2745,10801,30,0,54.2,25.86,0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,,,,,,56,17,56,109.5,2760,10801,30,0,11.1,25.85,0.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,summary,0.370595,0.982252,0.351402,0.987191,0.00746667,0.6,,,,,,,,,,,,,56,65.0,74,17,19.5,22,51,53.5,56,109.5,119.35,129.2,2752.5,10801.0,30.0,0,11.1,32.65,54.2,25.85,25.86,25.86,63.16,0.13,0.18,0.24,0.0,0.0,0.0,0.297,0.43,1.409,15.992,0.21,0.25
8,1,,,,,,,56,17,56,109.5,2760,10801,30,0,62.3,25.84,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,,,,,,2,2,48,111.5,2760,10801,30,0,7.5,25.85,0.0,15.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,summary,0.357468,0.986125,0.329931,0.990851,0.00853333,0.5,,,,,,,,,,,,,2,29.0,56,2,9.5,17,48,52.0,56,109.5,110.5,111.5,2760.0,10801.0,30.0,0,7.5,34.9,62.3,25.84,25.84,25.85,63.16,0.0,0.0,0.0,0.0,7.66,15.31,0.297,0.43,1.417,15.992,0.19,0.24
