epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.185910,0.703052,0.325860,0.992000,0.00866667,68.3,95,97.4,100,56,68.0,75,58,61.4,64,244.3,247.36,250.2,2745.0,10801.0,30.0,0,8.1,21.48,31.0,30.1,30.11,30.12,63.16,0.0,0.0,0.01,0.03,0.07,0.19,4.398,8.01,47.29,20.26
2,0.377282,0.972387,0.308186,0.995111,0.01733333,22.1,95,97.6,100,56,64.6,71,63,64.6,67,247.8,250.0,252.5,2745.0,10801.0,31.2,0,8.6,29.84,49.2,30.16,30.19,30.2,63.16,0.0,0.0,0.01,1.53,2.37,3.48,4.398,9.67,1.56,19.85
3,0.349598,0.980118,0.297098,0.995667,0.01999892,22.3,94,98.6,100,61,66.4,74,64,65.8,67,246.3,250.44,252.7,2730.0,10801.0,33.6,0,8.6,29.48,48.8,30.19,30.21,30.23,63.16,0.0,0.01,0.04,1.77,2.22,2.73,4.398,9.67,1.63,19.95
4,0.338764,0.983340,0.296825,0.995667,0.01999352,22.3,96,97.4,100,60,68.2,76,66,68.4,71,249.4,252.26,254.7,2733.0,10801.0,35.6,0,9.4,29.96,48.0,30.16,30.2,30.23,63.16,0.0,0.0,0.01,1.59,2.38,3.33,4.398,9.67,1.65,19.99
5,0.331384,0.985743,0.294025,0.996222,0.01998361,22.2,96,99.2,100,61,66.8,75,67,69.0,71,249.6,252.42,254.7,2730.0,10801.0,37.2,0,8.6,30.46,49.9,30.16,30.18,30.2,63.16,0.0,0.01,0.02,1.55,2.36,3.42,4.398,9.67,1.55,19.97
6,0.327078,0.986865,0.294241,0.996333,0.01996917,22.2,93,97.2,100,63,68.0,74,70,70.8,71,250.1,253.12,255.8,2730.0,10801.0,38.2,0,10.1,30.64,49.5,30.16,30.19,30.23,63.16,0.0,0.01,0.03,1.83,2.24,2.7,4.398,9.67,1.57,19.99
7,0.325906,0.987394,0.291544,0.997222,0.01995023,22.3,96,97.0,100,60,68.4,76,69,71.4,73,252.3,253.74,255.6,2730.0,10801.0,39.0,0,9.4,29.64,48.8,30.13,30.16,30.18,63.16,0.0,0.01,0.03,0.02,1.93,4.77,4.398,9.67,1.59,20.0
8,0.321497,0.988790,0.291189,0.997222,0.01992679,22.3,94,96.8,100,59,69.2,77,70,71.6,73,250.6,253.5,255.6,2730.0,10801.0,39.0,0,9.2,29.7,48.5,30.15,30.18,30.19,63.16,0.0,0.01,0.03,1.58,2.35,3.32,4.398,9.67,1.63,20.0
9,0.319577,0.989473,0.290730,0.997444,0.01989885,22.3,94,96.6,100,57,65.8,76,71,72.0,73,251.0,254.02,255.9,2730.0,10801.0,40.2,0,10.3,30.12,47.8,30.17,30.19,30.21,63.16,0.0,0.0,0.0,1.77,2.23,3.38,4.398,9.67,1.65,20.0
10,0.318070,0.989764,0.289686,0.998000,0.01986643,22.2,82,95.0,100,63,66.0,70,71,72.8,74,250.3,254.1,256.2,2730.0,10801.0,41.6,0,8.5,29.54,49.1,30.18,30.19,30.22,63.16,0.0,0.01,0.02,1.53,2.36,3.44,4.398,9.67,1.5,19.99
