epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
1,1,,,,,,,99,82,43,27.1,2565,10801,30,0,8.6,28.92,0.02,1.05,1.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,61,21,47,73.3,2760,10801,30,0,10.5,28.95,0.0,0.01,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,2.304427,0.096321,2.297858,0.162855,0.00003200,44.8,,,,,,,,,,,,,,61,80.0,99,21,51.5,82,43,45.0,47,27.1,50.2,73.3,2662.5,10801.0,30.0,0,8.6,9.55,10.5,28.92,28.94,28.95,63.16,0.0,0.01,0.02,0.01,0.53,1.05,0.747,0.873,1.622,1.69,1.751,15.992,43.69,0.99
2,1,,,,,,,7,2,43,108.3,2760,10801,30,0,47.3,29.11,0.0,0.0,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,48,16,48,103.9,2760,10801,30,0,10.1,29.1,0.0,6.51,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,2.302769,0.100032,2.297850,0.162855,0.00006400,0.9,,,,,,,,,,,,,,7,27.5,48,2,9.0,16,43,45.5,48,103.9,106.1,108.3,2760.0,10801.0,30.0,0,10.1,28.7,47.3,29.1,29.11,29.11,63.16,0.0,0.0,0.0,0.0,3.25,6.51,0.747,0.873,1.751,1.75,1.751,15.992,0.19,0.57
3,1,,,,,,,13,3,45,106.9,2760,10801,30,0,47.0,29.1,0.0,0.0,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,60,21,46,112.9,2760,10801,30,0,12.9,29.11,0.0,0.07,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,2.303366,0.098419,2.297081,0.162855,0.00009600,0.9,,,,,,,,,,,,,,13,36.5,60,3,12.0,21,45,45.5,46,106.9,109.9,112.9,2760.0,10801.0,30.0,0,12.9,29.95,47.0,29.1,29.11,29.11,63.16,0.0,0.0,0.0,0.0,0.04,0.07,0.747,0.873,1.751,1.75,1.751,15.992,0.19,0.56
4,1,,,,,,,12,3,45,107.7,2760,10801,30,0,50.8,29.09,0.0,53.27,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,57,19,48,109.7,2760,10801,30,0,11.1,29.09,0.0,0.12,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,summary,2.300754,0.103582,2.293893,0.162855,0.00012800,0.9,,,,,,,,,,,,,,12,34.5,57,3,11.0,19,45,46.5,48,107.7,108.7,109.7,2760.0,10801.0,30.0,0,11.1,30.95,50.8,29.09,29.09,29.09,63.16,0.0,0.0,0.0,0.12,26.7,53.27,0.747,0.873,1.751,1.75,1.751,15.992,0.21,0.58
5,1,,,,,,,19,5,48,106.3,2760,10801,30,0,47.4,29.1,0.0,0.0,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,49,15,50,109.4,2760,10801,30,0,9.6,29.1,0.0,17.12,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,summary,2.296902,0.096805,2.284957,0.163769,0.00016000,0.9,,,,,,,,,,,,,,19,34.0,49,5,10.0,15,48,49.0,50,106.3,107.85,109.4,2760.0,10801.0,30.0,0,9.6,28.5,47.4,29.1,29.1,29.1,63.16,0.0,0.0,0.0,0.0,8.56,17.12,0.747,0.873,1.751,1.75,1.751,15.992,0.2,0.58
6,1,,,,,,,49,15,50,109.4,2760,10801,30,0,47.0,29.12,0.0,0.02,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,,,,,,56,19,50,111.8,2760,10801,30,0,11.3,29.09,0.0,23.7,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,summary,2.270000,0.109874,2.183646,0.193962,0.00019200,0.9,,,,,,,,,,,,,,49,52.5,56,15,17.0,19,50,50.0,50,109.4,110.6,111.8,2760.0,10801.0,30.0,0,11.3,29.15,47.0,29.09,29.11,29.12,63.16,0.0,0.0,0.0,0.02,11.86,23.7,0.747,0.873,1.751,1.75,1.751,15.992,0.2,0.57
7,1,,,,,,,16,6,43,108.1,2760,10801,30,0,46.8,29.1,0.0,0.0,1.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,,,,,,59,19,49,104.1,2760,10801,30,0,9.4,29.16,0.0,0.26,1.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
