epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,0.853477,0.764929,0.302950,0.992889,0.00099999,212.3,96,98.0,100,86,93.0,100,61,65.2,69,219.3,222.66,224.5,2736.0,10801.0,32.4,0,8.2,9.66,10.2,30.07,30.1,30.13,63.16,0.0,0.01,0.06,0.03,0.05,0.12,11.336,14.184,177.43,33.31
2,0.360513,0.973294,0.296273,0.996000,0.00099989,166.6,96,96.0,96,83,88.8,93,68,68.4,69,225.0,225.96,226.8,2730.0,10801.0,37.0,0,9.4,10.4,12.9,30.1,30.13,30.2,63.16,0.0,0.0,0.02,0.03,1.95,7.27,11.335,14.184,132.47,32.58
3,0.343854,0.978852,0.296669,0.994889,0.00099967,166.6,96,97.2,98,88,93.2,98,69,70.2,71,226.8,227.26,227.8,2730.0,10801.0,38.2,0,9.7,10.7,12.6,30.1,30.12,30.19,63.16,0.0,0.0,0.0,0.04,1.75,5.43,11.336,14.186,132.84,32.19
4,0.334767,0.982106,0.293914,0.996111,0.00099932,166.6,96,96.8,100,86,90.6,93,68,69.0,70,226.2,226.7,227.1,2730.0,10801.0,39.0,0,9.5,10.54,12.4,30.07,30.11,30.17,63.16,0.0,0.0,0.0,0.04,1.58,4.89,11.336,14.186,132.4,32.64
5,0.329477,0.983851,0.292257,0.997000,0.00099885,166.6,96,98.4,100,89,93.4,100,68,69.0,70,226.3,227.16,227.7,2730.0,10801.0,39.0,0,9.6,10.56,12.0,30.09,30.12,30.2,63.16,0.0,0.0,0.01,0.04,1.75,5.44,11.336,14.186,131.83,33.24
6,0.325808,0.985085,0.292552,0.996778,0.00099825,166.6,96,97.0,100,89,90.8,92,68,69.6,71,224.9,225.92,226.8,2730.0,10801.0,38.8,0,9.4,10.54,12.2,30.09,30.12,30.2,63.16,0.0,0.0,0.01,0.03,1.77,5.48,11.336,14.186,132.52,32.49
7,0.323863,0.985973,0.291390,0.996778,0.00099753,166.6,96,97.6,100,84,89.2,93,68,68.8,70,225.8,226.28,227.1,2730.0,10801.0,38.8,0,9.8,10.64,12.3,30.08,30.13,30.18,63.16,0.0,0.0,0.01,0.04,1.51,4.83,11.337,14.186,132.12,32.91
8,0.321101,0.986982,0.290586,0.997778,0.00099669,166.5,96,98.6,100,87,93.8,100,69,69.4,70,226.2,226.68,227.6,2730.0,10801.0,38.6,0,9.1,10.38,12.1,29.89,29.92,29.97,63.16,0.0,0.0,0.01,0.03,1.76,5.46,11.335,14.186,132.11,32.88
9,0.319657,0.987455,0.289613,0.997778,0.00099572,166.7,94,97.8,100,42,83.6,96,66,68.4,70,215.1,223.64,226.4,2730.0,10801.0,39.0,0,9.5,10.36,11.9,29.9,29.93,29.99,63.16,0.0,0.0,0.0,0.04,1.75,5.44,11.336,14.186,132.34,32.77
10,0.318432,0.987981,0.289616,0.997222,0.00099463,166.6,96,97.2,100,83,89.6,93,69,69.2,70,225.8,226.58,227.6,2730.0,10801.0,38.6,0,9.8,10.54,12.5,29.9,29.94,30.04,63.16,0.0,0.0,0.0,0.03,1.78,5.5,11.335,14.186,132.17,32.84
11,0.317225,0.988286,0.290235,0.997333,0.00099341,166.6,96,98.8,100,89,91.0,93,68,68.4,70,217.0,224.5,227.2,2730.0,10801.0,39.0,0,9.4,10.46,12.6,29.92,29.95,30.01,63.16,0.0,0.01,0.02,0.03,1.45,4.63,11.334,14.186,132.31,32.69
12,0.315465,0.988856,0.290097,0.997444,0.00099208,166.5,96,98.0,100,92,94.2,99,68,68.8,71,217.9,224.5,226.3,2730.0,10801.0,38.4,0,9.4,10.68,13.1,29.93,29.95,30.0,63.16,0.0,0.0,0.0,0.02,1.58,4.63,11.338,14.186,132.3,32.69
