epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,2.218843,0.474758,0.803080,0.911265,0.00100000,149.8,100,100.0,100,71,75.2,82,56,57.2,58,194.2,194.8,195.5,2745.0,10801.0,30.0,0,5.5,6.26,9.0,26.68,26.69,26.69,63.16,0.0,0.0,0.01,0.02,0.06,0.16,12.333,15.344,44.34,21.81
2,0.863822,0.873002,0.518470,0.945222,0.00100000,107.6,100,100.0,100,4,4.4,5,53,54.4,55,160.7,165.28,167.3,2745.0,10801.0,30.0,0,5.5,7.6,12.3,30.39,30.43,30.47,63.16,0.0,0.0,0.0,2.05,2.86,4.05,12.333,18.891,2.22,21.9
3,0.661576,0.908281,0.493924,0.950305,0.00100000,107.3,100,100.0,100,12,12.8,14,53,54.0,55,174.2,176.8,178.1,2745.0,10801.0,30.0,0,5.4,7.64,12.0,30.42,30.45,30.49,63.16,0.0,0.0,0.0,2.02,2.86,4.04,12.333,18.891,2.1,21.94
4,0.605659,0.921449,0.484466,0.951688,0.00100000,107.3,100,100.0,100,31,31.8,33,52,53.2,54,158.1,158.7,159.7,2745.0,10801.0,30.0,0,5.4,7.42,11.9,30.42,30.45,30.47,63.16,0.0,0.0,0.0,2.03,2.87,4.03,12.333,18.891,2.13,21.87
5,0.579779,0.927384,0.477680,0.956161,0.00100000,107.3,100,100.0,100,54,57.6,62,59,60.8,63,192.9,194.18,195.4,2745.0,10801.0,30.0,0,6.1,7.7,11.7,30.44,30.46,30.47,63.16,0.0,0.0,0.0,2.04,2.87,4.04,12.333,18.891,2.1,21.87
6,0.566927,0.931804,0.472871,0.957584,0.00100000,107.3,100,100.0,100,50,55.2,61,61,62.6,64,186.9,192.58,194.7,2745.0,10801.0,30.0,0,6.3,7.92,11.9,30.45,30.49,30.51,63.16,0.0,0.0,0.0,2.02,2.89,4.12,12.333,18.891,2.1,21.96
7,0.555056,0.934732,0.468802,0.959252,0.00100000,107.4,100,100.0,100,55,57.8,61,55,56.6,60,183.8,189.0,190.7,2745.0,10801.0,30.0,0,5.6,7.68,11.7,30.47,30.49,30.51,63.16,0.0,0.0,0.0,2.02,2.89,4.06,12.333,18.891,2.16,21.89
8,0.544823,0.938105,0.466774,0.959292,0.00100000,107.4,100,100.0,100,58,61.2,65,58,59.0,60,192.1,193.32,194.2,2745.0,10801.0,30.0,0,5.2,6.78,11.4,30.47,30.5,30.53,63.16,0.0,0.0,0.01,2.04,2.88,4.09,12.333,18.891,2.22,21.88
9,0.535958,0.940983,0.464348,0.959333,0.00100000,107.4,100,100.0,100,63,65.6,68,61,62.2,63,194.3,194.46,194.6,2745.0,10801.0,30.0,0,5.8,7.78,11.7,30.18,30.21,30.26,63.16,0.0,0.0,0.0,2.02,2.86,4.03,12.333,18.891,2.2,21.96
10,0.531447,0.941786,0.462491,0.960024,0.00100000,107.5,100,100.0,100,53,60.8,67,53,54.8,56,182.1,189.18,191.8,2745.0,10801.0,30.0,0,6.5,7.86,11.9,30.21,30.23,30.26,63.16,0.0,0.0,0.0,2.0,2.85,4.02,12.333,18.891,2.21,21.89
