epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,3.184731,0.109351,3.241796,0.118747,0.00113333,54.4,97,98.8,100,58,68.0,80,56,59.0,61,161.2,221.62,243.6,2745.0,10801.0,30.0,0,5.8,6.58,9.2,26.26,26.27,26.27,63.16,0.0,0.02,0.08,0.0,0.1,0.33,8.478,14.221,45.84,5.93
2,3.043655,0.234067,3.055862,0.318869,0.00226667,11.6,100,100.0,100,44,56.8,70,58,59.2,61,197.1,229.34,241.9,2745.0,10801.0,30.0,0,5.6,13.34,38.9,28.72,28.73,28.73,63.16,0.0,0.03,0.09,0.0,2.39,3.71,8.478,17.311,3.51,5.73
3,2.631573,0.474191,2.038011,0.738349,0.00340000,11.6,96,98.2,100,62,71.2,83,57,60.8,63,158.5,219.8,239.9,2745.0,10801.0,30.0,0,6.5,13.64,39.7,28.71,28.72,28.72,63.16,0.0,0.72,3.59,0.0,3.99,11.09,8.478,17.311,3.52,5.7
4,1.839679,0.693511,1.030668,0.857584,0.00453333,11.6,100,100.0,100,46,57.6,74,56,59.4,62,200.2,229.46,238.7,2745.0,10801.0,30.0,0,5.0,12.78,39.0,28.69,28.71,28.72,63.16,0.0,0.01,0.05,0.0,2.36,3.63,8.478,17.311,3.48,5.73
5,1.021491,0.837100,0.606109,0.924075,0.00566667,11.6,100,100.0,100,45,55.6,68,59,61.6,64,195.6,230.5,243.9,2745.0,10801.0,30.0,0,4.9,12.06,39.0,28.71,28.71,28.71,63.16,0.0,0.01,0.04,0.0,2.38,3.92,8.478,17.311,3.44,5.7
6,0.671193,0.904312,0.572922,0.938390,0.00680000,11.7,100,100.0,100,44,56.0,72,58,61.0,63,126.4,214.74,239.1,2745.0,10801.0,30.0,0,4.7,12.18,38.6,28.7,28.71,28.72,63.16,0.0,0.01,0.03,0.0,2.35,3.96,8.478,17.311,3.48,5.76
7,0.599125,0.926128,0.518373,0.953274,0.00793333,11.7,97,98.8,100,44,59.4,69,61,63.0,65,165.3,223.88,243.5,2745.0,10801.0,30.0,0,4.5,11.64,38.1,28.71,28.71,28.71,63.16,0.0,0.01,0.03,2.21,2.96,3.86,8.478,17.311,3.51,5.79
8,0.559251,0.936311,0.500266,0.955673,0.00906667,11.8,75,94.6,100,50,59.8,72,61,62.8,65,126.2,212.14,239.7,2742.0,10801.0,30.0,0,4.9,12.42,38.7,28.7,28.72,28.73,63.16,0.0,0.01,0.02,0.0,2.31,3.95,8.478,17.311,3.66,5.76
9,0.531107,0.942124,0.480623,0.956527,0.01020000,11.6,96,97.8,100,44,60.8,70,61,62.6,65,167.0,225.18,244.9,2742.0,10801.0,30.0,0,5.5,12.8,39.2,28.71,28.71,28.71,63.16,0.0,0.01,0.03,0.0,2.19,3.01,8.478,17.311,3.42,5.79
10,0.511646,0.945992,0.494715,0.953355,0.01133333,11.7,83,96.6,100,51,62.4,73,62,63.8,67,200.2,229.06,237.0,2745.0,10801.0,30.0,0,5.3,12.38,38.9,28.7,28.71,28.72,63.16,0.0,0.01,0.03,2.21,2.95,3.89,8.478,17.311,3.53,5.79
11,0.493647,0.951166,0.473377,0.962220,0.01246667,11.6,100,100.0,100,46,57.4,71,63,64.4,66,183.7,228.86,244.2,2745.0,10801.0,30.0,0,5.4,12.9,39.6,28.69,28.69,28.69,63.16,0.0,0.01,0.03,0.03,1.48,1.96,8.478,17.311,3.41,5.75
12,0.487928,0.951345,0.472071,0.960024,0.01360000,11.7,98,99.6,100,51,66.0,75,62,63.8,66,124.4,214.3,237.4,2745.0,10801.0,30.2,0,6.9,14.72,39.9,28.71,28.71,28.72,63.16,0.0,0.0,0.02,0.14,2.35,3.57,8.478,17.311,3.6,5.73
13,0.481240,0.952816,0.488787,0.946076,0.01473333,11.7,97,98.2,100,46,58.8,67,63,65.4,67,164.0,224.68,244.5,2745.0,10801.0,30.8,0,4.9,12.02,39.2,28.7,28.71,28.72,63.16,0.0,0.01,0.03,2.22,2.98,3.91,8.478,17.311,3.46,5.78
14,0.475083,0.954725,0.468802,0.954168,0.01586667,11.8,96,99.2,100,47,64.8,77,62,64.6,66,199.0,230.98,243.3,2733.0,10801.0,31.0,0,5.0,12.18,39.4,28.68,28.69,28.7,63.16,0.0,0.01,0.03,0.0,1.69,2.96,8.478,17.311,3.68,5.71
15,0.471097,0.956634,0.472993,0.953640,0.01700000,11.7,97,98.8,100,64,70.0,79,61,63.2,64,145.3,219.84,239.9,2733.0,10801.0,31.0,0,4.7,12.22,39.2,28.72,28.72,28.72,63.16,0.0,0.0,0.02,0.08,2.36,3.6,8.478,17.311,3.51,5.78
16,0.468552,0.956849,0.456705,0.960594,0.01813333,11.8,100,100.0,100,45,59.2,77,64,65.6,67,186.8,229.72,245.0,2739.0,10801.0,31.0,0,4.9,12.06,38.5,28.67,28.67,28.69,63.16,0.0,0.01,0.03,0.15,1.46,1.96,8.478,17.311,3.5,5.82
17,0.465869,0.957840,0.459357,0.960594,0.01926667,11.7,100,100.0,100,46,58.6,77,62,64.4,65,127.6,215.66,238.4,2745.0,10801.0,31.0,0,5.0,12.52,38.7,28.7,28.71,28.71,63.16,0.0,0.01,0.03,0.15,2.37,3.89,8.478,17.311,3.5,5.78
18,0.465009,0.958213,0.455213,0.963034,0.01999965,11.6,100,100.0,100,43,61.4,78,61,63.8,66,199.8,230.68,238.9,2745.0,10801.0,31.4,0,6.4,13.84,39.6,28.66,28.66,28.67,63.16,0.0,0.0,0.0,1.47,2.05,3.08,8.478,17.311,3.46,5.72
19,0.461431,0.959705,0.469720,0.952948,0.01999484,11.7,97,98.4,100,63,70.8,78,63,65.6,67,156.3,222.84,244.7,2742.0,10801.0,31.2,0,5.0,12.08,38.6,28.7,28.7,28.71,63.16,0.0,0.0,0.0,0.01,2.35,3.91,8.478,17.311,3.5,5.78
20,0.459025,0.959698,0.459044,0.958601,0.01998441,11.7,100,100.0,100,48,58.4,71,63,64.6,66,185.5,229.0,244.2,2745.0,10801.0,31.6,0,6.0,12.88,39.3,28.67,28.67,28.68,63.16,0.0,0.0,0.01,0.0,1.58,2.47,8.478,17.311,3.52,5.8
21,0.454223,0.962160,0.467737,0.956242,0.01996835,11.6,96,97.8,100,55,63.4,69,64,66.2,68,161.8,224.5,246.1,2730.0,10801.0,31.6,0,4.8,12.72,40.7,28.67,28.67,28.68,63.16,0.0,0.01,0.04,0.0,1.4,2.12,8.478,17.311,3.47,5.74
22,0.453569,0.961557,0.464182,0.954860,0.01994667,11.8,100,100.0,100,44,59.4,71,62,64.4,66,201.6,231.38,239.8,2742.0,10801.0,32.0,0,4.7,12.08,38.4,28.67,28.67,28.67,63.16,0.0,0.01,0.03,0.0,1.46,2.04,8.478,17.311,3.51,5.79
23,0.450086,0.963057,0.453013,0.964498,0.01991939,11.7,96,98.6,100,64,70.6,81,63,65.8,68,144.2,219.04,239.7,2733.0,10801.0,32.0,0,4.8,12.08,38.5,28.67,28.67,28.68,63.16,0.0,0.02,0.05,0.0,1.48,2.07,8.478,17.311,3.5,5.78
