epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,3.258531,0.046064,3.266742,0.022245,0.00009600,59.8,96,97.8,100,67,79.0,86,57,58.6,59,181.0,214.44,224.4,2748.0,10801.0,30.0,0,5.3,9.12,20.0,25.92,25.94,25.95,63.16,0.0,0.0,0.01,0.02,0.08,0.2,10.926,14.189,55.02,2.79
2,3.125806,0.106057,2.628216,0.181253,0.00019200,15.8,95,97.8,100,66,80.2,87,59,61.2,63,172.0,213.56,224.9,2745.0,10801.0,30.0,0,5.4,18.0,48.2,26.05,26.09,26.14,63.16,0.0,0.0,0.01,0.01,5.42,8.17,10.926,14.189,11.79,1.91
3,2.397814,0.274347,1.845932,0.523790,0.00028800,16.0,96,98.6,100,64,75.2,89,59,61.2,63,203.9,220.86,226.5,2745.0,10801.0,30.0,0,5.6,17.9,48.0,26.11,26.15,26.19,63.16,0.0,0.05,0.22,5.17,6.39,8.35,10.928,14.195,11.66,2.22
4,1.290605,0.695161,0.654492,0.919805,0.00038400,15.8,97,99.4,100,75,86.0,95,61,62.6,66,224.2,226.06,227.1,2745.0,10801.0,30.0,0,5.7,18.04,48.9,26.12,26.15,26.18,63.16,0.0,0.0,0.0,2.62,5.74,7.6,10.928,14.195,11.87,1.81
5,0.710398,0.888776,0.536772,0.940748,0.00048000,15.9,96,98.2,100,66,81.4,94,62,63.0,64,223.3,226.04,228.1,2745.0,10801.0,31.0,0,5.9,17.94,48.2,26.12,26.15,26.2,63.16,0.0,0.0,0.0,3.11,5.71,7.38,10.928,14.195,11.68,2.15
6,0.609935,0.914316,0.517901,0.937129,0.00057600,15.8,96,98.2,100,74,81.0,89,63,64.8,67,223.8,226.4,227.8,2745.0,10801.0,32.0,0,5.3,19.22,49.2,26.14,26.16,26.2,63.16,0.0,0.0,0.0,3.45,5.56,8.1,10.927,14.195,11.84,1.85
7,0.561362,0.927534,0.487789,0.949654,0.00067200,15.9,96,99.2,100,75,90.0,99,64,64.0,64,217.3,226.0,231.1,2745.0,10801.0,32.4,0,5.4,17.3,48.2,26.1,26.15,26.21,63.16,0.0,0.0,0.0,5.19,6.23,7.42,10.931,14.195,11.68,2.13
8,0.538865,0.932931,0.482537,0.950793,0.00076800,15.8,96,98.4,100,69,76.2,87,64,66.0,68,219.1,226.02,229.6,2736.0,10801.0,33.0,0,5.3,18.26,48.9,26.11,26.14,26.19,63.16,0.0,0.0,0.0,2.53,5.76,7.7,10.931,14.195,11.81,1.9
9,0.527156,0.935787,0.471549,0.954819,0.00086400,15.9,97,98.4,100,65,80.2,90,64,65.8,69,225.7,227.26,228.8,2730.0,10801.0,33.4,0,6.3,18.64,48.9,26.13,26.16,26.2,63.16,0.0,0.0,0.0,3.83,5.61,7.15,10.933,14.195,11.75,2.1
10,0.514652,0.938729,0.475250,0.949085,0.00096000,15.8,94,97.6,100,66,81.6,91,64,66.2,69,211.9,225.06,229.4,2745.0,10801.0,34.0,0,6.0,18.4,48.5,26.11,26.14,26.19,63.16,0.0,0.0,0.0,5.1,5.7,6.79,10.933,14.197,11.82,1.9
11,0.505907,0.941435,0.466770,0.954128,0.00099998,15.9,96,98.4,100,76,84.4,91,63,66.4,69,213.0,224.12,230.0,2730.0,10801.0,34.0,0,5.9,18.38,49.6,26.09,26.11,26.14,63.16,0.0,0.0,0.0,4.29,5.21,6.44,10.933,14.197,11.75,2.1
12,0.499294,0.943731,0.463976,0.956730,0.00099983,15.8,98,99.6,100,75,86.0,97,65,66.2,69,201.7,224.14,230.5,2739.0,10801.0,34.0,0,5.0,18.06,49.8,26.09,26.13,26.17,63.16,0.0,0.0,0.0,2.58,5.78,7.68,10.929,14.197,11.81,1.9
13,0.493307,0.946164,0.461967,0.958642,0.00099954,15.9,95,99.0,100,70,83.6,97,64,65.6,67,209.1,225.06,230.2,2730.0,10801.0,35.0,0,5.3,17.82,48.8,26.12,26.15,26.19,63.16,0.0,0.0,0.0,3.85,5.71,7.22,10.931,14.197,11.63,2.18
14,0.485563,0.947980,0.467735,0.952379,0.00099912,15.7,98,99.4,100,76,85.8,94,65,67.0,69,219.3,227.92,231.7,2733.0,10801.0,35.0,0,5.5,18.02,48.8,26.12,26.15,26.2,63.16,0.0,0.0,0.0,5.07,6.15,7.35,10.931,14.197,11.76,1.89
15,0.483325,0.948037,0.465742,0.956934,0.00099856,16.0,95,97.4,100,65,78.6,89,66,67.0,71,213.0,225.54,229.4,2730.0,10801.0,35.0,0,5.7,18.24,49.6,26.08,26.11,26.14,63.16,0.0,0.0,0.0,4.43,5.22,6.1,10.931,14.197,11.62,2.18
16,0.479620,0.949329,0.458736,0.959821,0.00099786,15.7,95,97.8,100,66,79.4,88,65,66.4,67,225.0,228.78,231.0,2736.0,10801.0,35.0,0,6.2,19.08,49.8,26.09,26.11,26.14,63.16,0.0,0.0,0.01,2.59,4.9,6.37,10.931,14.197,11.65,1.94
17,0.472228,0.952264,0.459387,0.957137,0.00099703,15.8,95,98.2,100,73,83.6,91,66,68.0,71,219.8,226.64,230.3,2730.0,10801.0,35.0,0,6.1,18.76,49.7,26.12,26.15,26.19,63.16,0.0,0.0,0.0,3.83,5.68,7.41,10.931,14.197,11.65,2.11
18,0.469258,0.953383,0.461825,0.953680,0.00099606,15.8,95,97.8,100,65,79.0,88,66,66.8,67,213.7,226.54,230.5,2730.0,10801.0,35.2,0,5.5,18.54,50.1,26.1,26.12,26.16,63.16,0.0,0.0,0.0,4.56,5.32,6.39,10.93,14.197,11.81,1.91
19,0.469437,0.952443,0.454816,0.959333,0.00099495,15.9,95,98.4,100,68,81.2,89,66,67.6,70,213.3,226.8,231.3,2733.0,10801.0,35.4,0,5.2,17.64,48.4,26.07,26.11,26.15,63.16,0.0,0.0,0.0,4.52,5.22,6.13,10.93,14.197,11.69,2.14
20,0.464727,0.954108,0.459685,0.957788,0.00099371,15.8,96,99.0,100,76,86.4,96,66,67.2,69,203.4,225.26,231.6,2730.0,10801.0,35.0,0,5.4,18.14,49.1,26.12,26.15,26.19,63.16,0.0,0.0,0.0,2.59,5.71,7.64,10.927,14.197,11.84,1.88
21,0.462997,0.954553,0.455258,0.961326,0.00099233,15.9,96,98.8,100,67,76.8,89,66,66.8,68,221.4,227.02,230.1,2730.0,10801.0,36.0,0,5.3,17.74,48.3,26.11,26.14,26.17,63.16,0.0,0.02,0.08,3.03,4.91,6.05,10.932,14.197,11.67,2.15
22,0.458931,0.955579,0.459711,0.954860,0.00099082,15.7,100,100.0,100,67,68.4,73,66,67.8,70,227.2,229.76,232.5,2730.0,10801.0,36.0,0,5.5,18.2,49.8,26.09,26.11,26.14,63.16,0.0,0.02,0.08,4.59,5.48,6.78,10.932,14.197,11.77,1.87
23,0.455656,0.958242,0.450799,0.962993,0.00098917,15.9,97,98.8,100,67,76.0,89,67,68.4,70,226.1,229.9,232.1,2730.0,10801.0,35.8,0,6.1,18.72,49.4,26.09,26.11,26.14,63.16,0.0,0.0,0.01,4.14,5.15,6.07,10.932,14.197,11.74,2.1
24,0.454823,0.957007,0.464862,0.954046,0.00098739,15.8,96,98.8,100,62,81.6,97,67,67.2,68,227.2,229.78,231.6,2730.0,10801.0,35.8,0,5.3,18.74,52.0,26.1,26.13,26.17,63.16,0.0,0.0,0.01,3.07,5.8,7.65,10.928,14.197,11.8,1.88
25,0.453600,0.957632,0.456163,0.959699,0.00098547,16.0,96,98.8,100,75,83.4,94,66,66.8,68,223.3,229.48,231.8,2730.0,10801.0,36.0,0,5.9,18.28,48.5,26.08,26.11,26.13,63.16,0.0,0.0,0.0,2.95,4.73,6.1,10.928,14.197,11.9,2.03
26,0.449332,0.958930,0.462897,0.956202,0.00098342,15.8,96,98.8,100,68,82.2,94,66,67.2,68,229.7,230.94,232.5,2733.0,10801.0,36.0,0,5.5,17.76,48.4,26.05,26.1,26.16,63.16,0.0,0.0,0.0,4.25,5.65,6.67,10.929,14.197,11.72,1.94
27,0.447118,0.960660,0.456363,0.959658,0.00098124,15.7,98,99.6,100,67,80.2,95,67,67.6,68,228.8,230.74,233.1,2730.0,10801.0,36.0,0,5.1,18.2,48.7,26.08,26.1,26.13,63.16,0.0,0.0,0.0,2.57,4.96,6.4,10.929,14.197,11.76,1.9
28,0.445491,0.961205,0.464829,0.953152,0.00097893,15.9,96,97.6,100,68,76.8,88,63,67.2,71,214.7,226.94,230.9,2730.0,10801.0,36.0,0,6.3,18.4,48.3,26.09,26.11,26.15,63.16,0.0,0.0,0.0,2.65,4.9,6.43,10.929,14.197,11.72,2.13
29,0.443077,0.961299,0.460480,0.955348,0.00097648,15.8,96,98.4,100,76,83.8,94,66,68.2,71,228.7,230.66,231.9,2730.0,10801.0,36.0,0,5.5,18.84,49.9,26.1,26.11,26.14,63.16,0.0,0.0,0.0,3.02,4.75,6.54,10.929,14.197,11.83,1.89
30,0.443175,0.961973,0.460737,0.955429,0.00097390,15.9,96,98.6,100,66,75.2,88,66,67.0,68,226.2,229.36,231.8,2730.0,10801.0,36.0,0,5.4,17.82,49.5,26.07,26.11,26.14,63.16,0.0,0.0,0.0,4.56,5.21,6.09,10.932,14.197,11.64,2.18
31,0.443096,0.961715,0.452519,0.962708,0.00097120,15.8,96,98.8,100,75,84.0,96,66,68.4,71,227.5,230.26,232.6,2730.0,10801.0,36.0,0,5.2,17.82,48.7,26.08,26.1,26.13,63.16,0.0,0.0,0.0,2.55,4.85,6.21,10.932,14.199,11.84,1.84
32,0.438198,0.963810,0.457920,0.958072,0.00096836,15.9,97,99.0,100,67,76.8,93,66,66.8,67,219.2,227.52,231.6,2730.0,10801.0,36.0,0,5.6,17.98,48.5,26.08,26.11,26.13,63.16,0.0,0.01,0.03,2.85,4.9,6.13,10.932,14.199,11.64,2.2
33,0.437590,0.963660,0.463237,0.954656,0.00096539,15.7,96,98.6,100,65,75.2,89,66,67.8,70,227.6,229.76,231.6,2730.0,10801.0,36.0,0,5.9,18.6,49.1,26.08,26.1,26.15,63.16,0.0,0.0,0.0,4.33,5.31,6.44,10.931,14.199,11.74,1.89
34,0.435476,0.964356,0.453108,0.961326,0.00096230,15.8,95,98.0,100,76,82.0,89,66,68.0,71,188.1,221.78,230.9,2730.0,10801.0,36.0,0,5.6,18.68,50.7,26.08,26.1,26.11,63.16,0.0,0.0,0.0,2.14,4.86,6.37,10.931,14.199,11.52,2.18
35,0.436337,0.964313,0.462086,0.952826,0.00095908,15.7,96,97.8,100,73,81.0,90,66,69.0,72,197.5,223.88,231.2,2730.0,10801.0,36.0,0,6.9,19.84,49.8,26.08,26.11,26.14,63.16,0.0,0.05,0.23,3.39,5.23,6.55,10.928,14.199,11.79,1.85
36,0.434109,0.965131,0.457537,0.957462,0.00095574,15.8,96,98.4,100,74,82.2,90,64,67.8,70,210.7,224.64,231.9,2730.0,10801.0,36.0,0,5.7,18.46,49.2,26.08,26.1,26.12,63.16,0.0,0.0,0.0,4.58,5.26,6.27,10.93,14.199,11.58,2.15
