epoch,sample_point,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct,cuda_mem_util_pct,gpu_temp_c,gpu_power_w,gpu_clock_sm_mhz,gpu_clock_mem_mhz,gpu_fan_pct,gpu_throttled,cpu_pct,ram_used_gb,disk_read_mb_s,disk_write_mb_s,nvsmi_vram_used_gb,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,nvsmi_vram_used_gb_min,nvsmi_vram_used_gb_avg,nvsmi_vram_used_gb_max,nvsmi_vram_total_gb,data_wait_s,compute_s
1,1,,,,,,,22,29,44,21.1,210,405,30,0,9.9,29.77,0.02,1.37,1.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,22,29,44,21.1,210,405,30,0,9.3,29.78,0.0,0.0,1.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,summary,1.100712,0.336039,1.102376,0.263443,0.00064000,47.5,,,,,,,,,,,,,,22,22.0,22,29,29.0,29,44,44.0,44,21.1,21.1,21.1,210.0,405.0,30.0,0,9.3,9.6,9.9,29.77,29.77,29.78,63.16,0.0,0.01,0.02,0.0,0.69,1.37,8.281,13.705,1.563,1.56,1.563,15.992,46.09,0.42
2,1,,,,,,,3,3,44,29.8,405,5001,30,0,56.9,29.84,0.35,2.53,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,3,3,44,29.8,405,5001,30,0,11.2,29.84,0.18,0.0,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,summary,1.090297,0.360660,1.097280,0.305627,0.00128000,3.5,,,,,,,,,,,,,,3,3.0,3,3,3.0,3,44,44.0,44,29.8,29.8,29.8,405.0,5001.0,30.0,0,11.2,34.05,56.9,29.84,29.84,29.84,63.16,0.18,0.27,0.35,0.0,1.26,2.53,8.281,13.705,1.729,1.73,1.729,15.992,2.21,0.34
3,1,,,,,,,4,3,44,29.3,465,5001,30,0,57.3,29.83,0.01,2.37,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,,,,,,92,32,45,38.4,810,5001,30,0,9.0,29.84,0.01,3.18,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,summary,1.066064,0.431438,1.052237,0.445847,0.00192000,3.5,,,,,,,,,,,,,,4,48.0,92,3,17.5,32,44,44.5,45,29.3,33.85,38.4,637.5,5001.0,30.0,0,9.0,33.15,57.3,29.83,29.84,29.84,63.16,0.01,0.01,0.01,2.37,2.78,3.18,8.281,13.705,1.729,1.73,1.729,15.992,2.22,0.37
4,1,,,,,,,3,3,43,29.1,390,5001,30,0,57.5,29.83,0.0,2.92,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,3,3,43,29.1,390,5001,30,0,11.5,29.84,0.0,0.0,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,summary,1.022366,0.544431,0.842402,0.684590,0.00256000,3.4,,,,,,,,,,,,,,3,3.0,3,3,3.0,3,43,43.0,43,29.1,29.1,29.1,390.0,5001.0,30.0,0,11.5,34.5,57.5,29.83,29.84,29.84,63.16,0.0,0.0,0.0,0.0,1.46,2.92,8.281,13.705,1.729,1.73,1.729,15.992,2.15,0.36
5,1,,,,,,,5,2,43,28.8,420,5001,30,0,57.3,29.84,0.15,0.61,1.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,5,2,43,28.8,420,5001,30,0,10.8,29.84,0.0,13.61,1.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,summary,0.955770,0.611768,0.752130,0.730174,0.00320000,3.4,,,,,,,,,,,,,,5,5.0,5,2,2.0,2,43,43.0,43,28.8,28.8,28.8,420.0,5001.0,30.0,0,10.8,34.05,57.3,29.84,29.84,29.84,63.16,0.0,0.07,0.15,0.61,7.11,13.61,8.281,13.705,1.726,1.73,1.726,15.992,2.19,0.34
6,1,,,,,,,3,3,43,33.3,555,5001,30,0,57.8,29.83,0.0,0.68,1.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,,,,,,58,15,43,30.5,465,5001,30,0,12.2,29.84,0.0,0.02,1.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,summary,0.872398,0.655219,0.734779,0.744467,0.00384000,3.4,,,,,,,,,,,,,,3,30.5,58,3,9.0,15,43,43.0,43,30.5,31.9,33.3,510.0,5001.0,30.0,0,12.2,35.0,57.8,29.83,29.84,29.84,63.16,0.0,0.0,0.0,0.02,0.35,0.68,8.281,13.705,1.724,1.72,1.724,15.992,2.14,0.32
