epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.107453,0.349697,1.091701,0.403226,0.00092000,64.6,69,92.2,98,49,53.0,59,44,50.0,53,95.8,159.48,194.5,2757.0,10801.0,30.0,0,16.0,23.1,28.0,31.64,31.78,31.9,63.16,0.0,7.67,38.01,0.02,1.35,5.72,9.282,15.104,56.34,5.82
2,1.076776,0.390527,1.084515,0.417473,0.00184000,17.9,98,99.6,100,50,80.0,90,50,52.4,54,81.1,169.36,203.2,2754.0,10801.0,30.0,0,11.2,29.78,58.4,37.25,37.35,37.45,63.16,0.12,0.54,1.0,0.41,1.04,1.55,9.282,19.486,10.55,5.62
3,1.033097,0.442112,0.975366,0.593056,0.00276000,17.6,100,100.0,100,80,81.4,82,54,55.0,57,138.0,175.92,203.0,2760.0,10801.0,30.0,0,14.0,28.76,61.8,37.15,37.27,37.42,63.16,0.01,0.1,0.2,0.03,0.3,0.63,9.282,19.486,10.2,5.62
4,0.986618,0.509500,0.868815,0.619444,0.00368000,17.5,98,98.4,100,49,63.4,75,51,55.2,59,112.0,170.1,196.4,2760.0,10801.0,30.0,0,14.5,29.08,62.1,37.16,37.27,37.41,63.16,0.0,0.44,2.13,0.0,1.0,4.65,9.282,19.486,10.11,5.55
5,0.918310,0.573484,0.900750,0.575090,0.00399954,17.6,97,97.8,98,42,59.0,68,55,56.4,57,114.6,167.12,203.1,2751.0,10801.0,30.0,0,14.3,29.06,62.0,37.22,37.31,37.42,63.16,0.0,0.02,0.06,0.02,0.12,0.19,9.282,19.486,10.23,5.61
6,0.858540,0.618793,0.762484,0.682482,0.00399706,17.6,100,100.0,100,73,77.8,89,50,51.8,56,131.4,181.18,203.7,2757.0,10801.0,30.0,0,13.4,28.38,61.5,37.17,37.29,37.41,63.16,0.0,0.02,0.04,0.0,0.15,0.45,9.282,19.486,10.32,5.56
7,0.820552,0.645806,0.929361,0.630600,0.00399242,17.7,100,100.0,100,77,85.8,91,52,54.0,55,88.4,168.06,204.9,2748.0,10801.0,30.0,0,13.1,27.94,60.0,37.22,37.33,37.42,63.16,0.0,0.03,0.06,0.0,0.12,0.28,9.282,19.486,10.23,5.68
8,0.798292,0.660850,0.741084,0.688665,0.00398563,17.7,97,98.6,100,49,67.8,78,54,55.8,59,76.0,158.66,199.3,2757.0,10801.0,30.0,0,11.6,27.3,59.0,37.11,37.22,37.33,63.16,0.0,0.01,0.03,0.0,0.05,0.17,9.282,19.486,10.17,5.75
9,0.766787,0.681622,0.667901,0.737903,0.00397670,17.4,100,100.0,100,83,87.8,91,54,55.4,57,83.3,164.94,205.8,2751.0,10801.0,30.0,0,15.0,28.5,61.3,37.08,37.17,37.31,63.16,0.0,0.02,0.04,0.0,0.1,0.19,9.282,19.486,9.97,5.65
10,0.740948,0.698650,0.699126,0.711738,0.00396564,17.5,99,99.8,100,58,72.6,82,53,54.0,56,95.5,164.26,199.2,2757.0,10801.0,30.0,0,14.1,28.66,61.6,37.03,37.16,37.32,63.16,0.0,0.03,0.05,0.0,0.09,0.24,9.282,19.486,10.14,5.58
11,0.724114,0.709108,0.742003,0.671774,0.00395246,17.7,100,100.0,100,78,84.4,91,49,54.6,57,120.5,173.62,206.6,2748.0,10801.0,30.0,0,14.4,29.08,61.2,37.01,37.15,37.29,63.16,0.0,0.02,0.04,0.01,0.4,1.26,9.282,19.486,10.35,5.55
12,0.705420,0.719683,0.622016,0.760439,0.00393717,17.4,98,98.4,100,42,51.2,82,55,55.4,56,64.8,153.08,196.6,2748.0,10801.0,30.0,0,15.9,29.56,62.0,37.06,37.16,37.31,63.16,0.0,0.03,0.06,0.03,0.11,0.25,9.282,19.486,10.09,5.58
