epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.958467,0.576204,0.550551,0.960802,0.00100000,136.0,98,99.6,100,57,70.0,83,63,64.4,66,236.3,238.1,239.6,2745.0,10801.0,30.6,0,5.8,8.88,17.3,27.16,27.21,27.32,63.16,0.0,0.03,0.13,0.01,0.13,0.48,10.551,13.307,43.52,20.3
2,0.656267,0.935840,0.428929,0.981618,0.00100000,92.1,100,100.0,100,59,69.0,90,63,64.8,68,237.0,238.26,239.3,2742.0,10801.0,31.2,0,5.4,9.54,16.7,29.23,29.26,29.29,63.16,0.0,0.0,0.0,1.71,2.93,3.78,10.551,15.539,1.52,19.88
3,0.539658,0.958248,0.423860,0.984864,0.00100000,92.0,98,99.6,100,56,77.0,93,63,64.8,66,234.6,237.12,238.8,2736.0,10801.0,31.2,0,5.6,9.6,17.3,29.27,29.29,29.32,63.16,0.0,0.0,0.0,1.75,2.94,3.83,10.551,15.539,1.49,19.9
4,0.510497,0.964424,0.420916,0.985464,0.00100000,92.2,97,99.4,100,58,70.6,80,62,65.0,68,236.5,237.4,238.2,2742.0,10801.0,31.2,0,5.6,9.66,16.5,29.25,29.27,29.29,63.16,0.0,0.0,0.0,1.74,2.94,3.82,10.551,15.539,1.55,19.9
5,0.489647,0.969330,0.417346,0.985817,0.00100000,92.2,98,99.6,100,60,74.4,88,61,65.2,67,237.1,237.76,238.6,2742.0,10801.0,31.0,0,5.3,9.46,17.1,29.27,29.3,29.34,63.16,0.0,0.0,0.0,1.73,2.92,3.77,10.551,15.539,1.62,19.89
6,0.477910,0.972076,0.413294,0.986240,0.00100000,92.0,98,99.6,100,59,76.4,90,62,65.2,69,236.6,237.62,238.8,2742.0,10801.0,31.2,0,5.8,9.68,17.2,29.23,29.25,29.3,63.16,0.0,0.0,0.0,1.78,2.94,3.78,10.551,15.539,1.49,19.89
7,0.472057,0.972836,0.410141,0.986522,0.00100000,92.2,98,99.6,100,60,73.6,83,64,65.0,66,234.6,237.22,238.8,2739.0,10801.0,31.0,0,5.7,9.76,16.6,28.53,28.58,28.6,63.16,0.0,0.0,0.0,1.71,2.94,3.76,10.551,15.539,1.65,19.89
8,0.461942,0.975986,0.407556,0.986840,0.00100000,92.0,77,93.2,100,61,71.0,85,63,65.2,67,235.4,236.84,238.3,2739.0,10801.0,31.0,0,5.5,9.3,16.2,28.56,28.58,28.62,63.16,0.0,0.02,0.03,2.42,3.56,6.06,10.551,15.539,1.48,19.89
9,0.457728,0.976266,0.405582,0.987157,0.00100000,92.2,98,99.6,100,58,73.6,90,63,64.4,66,235.8,237.28,238.5,2742.0,10801.0,31.2,0,5.1,9.34,16.6,28.56,28.59,28.61,63.16,0.0,0.0,0.01,1.72,3.42,6.03,10.551,15.539,1.57,19.88
10,0.456037,0.976876,0.404116,0.987087,0.00100000,92.0,100,100.0,100,58,74.6,89,63,64.2,66,235.7,237.74,239.0,2745.0,10801.0,30.8,0,6.0,9.88,17.5,28.58,28.63,28.66,63.16,0.0,0.0,0.01,1.77,2.94,3.81,10.551,15.539,1.51,19.89
