epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,3.193011,0.105495,3.237096,0.052641,0.00133333,56.6,96,99.2,100,59,64.4,69,57,59.8,62,197.4,228.48,241.2,2745.0,10801.0,30.0,0,5.5,7.76,11.4,26.81,26.82,26.82,63.16,0.0,0.0,0.02,0.03,0.14,0.29,8.321,13.914,47.02,6.71
2,2.995276,0.286555,2.733883,0.646544,0.00266667,12.6,85,97.0,100,45,62.0,79,58,60.2,63,194.5,230.38,243.1,2745.0,10801.0,30.0,0,4.8,14.94,44.1,28.95,28.96,28.96,63.16,0.0,0.0,0.0,2.23,2.53,2.99,8.321,16.949,3.54,6.55
3,2.372556,0.588992,1.369342,0.843665,0.00400000,12.7,97,98.8,100,51,60.0,71,58,61.2,64,125.5,217.84,243.5,2745.0,10801.0,30.0,0,4.8,14.66,43.9,28.95,28.95,28.96,63.16,0.0,0.0,0.01,2.23,2.53,3.63,8.321,16.949,3.6,6.59
4,1.317133,0.824543,0.625591,0.945031,0.00533333,13.0,97,99.4,100,60,67.4,72,59,62.2,64,132.1,217.8,242.8,2742.0,10801.0,30.0,0,5.1,14.02,42.7,28.97,28.97,28.98,63.16,0.0,0.0,0.0,2.24,2.48,3.02,8.321,16.949,3.74,6.68
5,0.623958,0.942378,0.456915,0.978513,0.00666667,12.6,100,100.0,100,58,66.8,72,61,63.0,65,166.5,225.48,243.4,2745.0,10801.0,30.0,0,5.0,14.3,43.3,28.94,28.95,28.97,63.16,0.0,0.0,0.0,2.25,2.55,3.65,8.321,16.949,3.44,6.66
6,0.500713,0.970271,0.463329,0.981477,0.00800000,12.7,96,99.2,100,44,57.4,80,61,62.4,64,124.2,215.84,245.6,2745.0,10801.0,30.0,0,5.4,14.74,43.7,28.96,28.96,28.97,63.16,0.0,0.03,0.14,2.23,2.57,3.31,8.321,16.949,3.53,6.66
7,0.464227,0.977904,0.420042,0.983629,0.00933333,12.9,93,98.4,100,42,59.0,78,61,65.0,68,146.2,221.42,244.6,2742.0,10801.0,30.4,0,5.3,14.12,42.9,28.93,28.94,28.94,63.16,0.0,0.0,0.01,1.49,1.56,1.8,8.321,16.949,3.67,6.66
8,0.439655,0.981291,0.420372,0.982112,0.01066667,12.7,100,100.0,100,47,63.0,83,59,63.4,65,195.3,232.0,246.7,2745.0,10801.0,30.6,0,6.9,15.82,43.2,28.95,28.95,28.96,63.16,0.0,0.0,0.0,2.23,2.52,3.56,8.321,16.949,3.61,6.6
9,0.422198,0.984173,0.438005,0.979607,0.01200000,12.8,97,98.8,100,51,61.4,70,61,63.8,65,128.3,218.44,245.2,2739.0,10801.0,31.0,0,4.8,14.54,44.0,28.92,28.93,28.93,63.16,0.0,0.0,0.0,1.48,1.54,1.6,8.321,16.949,3.59,6.63
10,0.412408,0.985300,0.434679,0.975620,0.01333333,12.7,96,98.6,100,60,63.6,68,63,64.6,67,162.3,224.98,245.1,2745.0,10801.0,31.0,0,4.7,14.26,43.2,28.8,28.82,28.85,63.16,0.0,0.0,0.0,1.49,1.58,1.8,8.321,16.949,3.57,6.62
11,0.407012,0.986091,0.407498,0.983170,0.01466667,12.8,98,99.6,100,61,68.6,75,63,64.2,67,201.6,231.48,244.6,2745.0,10801.0,31.2,0,5.6,14.6,43.1,28.81,28.81,28.81,63.16,0.0,0.0,0.01,1.33,1.5,1.63,8.321,16.949,3.67,6.6
12,0.403515,0.986838,0.396210,0.986381,0.01600000,12.7,97,99.4,100,46,60.4,76,63,65.6,68,145.6,221.68,244.9,2733.0,10801.0,31.4,0,4.9,14.18,43.2,28.82,28.83,28.85,63.16,0.0,0.0,0.0,2.23,2.48,2.99,8.321,16.949,3.56,6.66
13,0.402315,0.986938,0.394211,0.986558,0.01733333,12.8,97,99.4,100,51,60.2,69,63,64.8,67,187.6,229.1,246.1,2742.0,10801.0,31.4,0,4.8,13.94,43.5,28.83,28.84,28.84,63.16,0.0,0.0,0.0,2.23,2.52,3.64,8.321,16.949,3.48,6.67
14,0.401131,0.987237,0.404173,0.981653,0.01866667,12.9,97,99.4,100,47,53.0,66,63,64.6,67,185.3,228.92,245.3,2745.0,10801.0,31.4,0,5.2,14.78,45.9,28.82,28.83,28.84,63.16,0.0,0.0,0.0,2.25,2.49,2.97,8.321,16.949,3.59,6.67
15,0.397680,0.988183,0.395908,0.985146,0.02000000,12.8,99,99.8,100,45,61.8,80,62,65.0,68,123.5,215.6,246.8,2736.0,10801.0,31.6,0,5.5,14.44,43.2,28.79,28.8,28.81,63.16,0.0,0.0,0.0,1.46,1.66,2.23,8.321,16.949,3.69,6.57
16,0.398777,0.987149,0.400450,0.982888,0.01999729,12.7,96,99.2,100,62,65.2,70,64,65.6,68,163.9,225.88,245.4,2733.0,10801.0,31.6,0,5.7,15.7,44.3,28.78,28.8,28.8,63.16,0.0,0.0,0.0,1.34,1.47,1.55,8.321,16.949,3.54,6.64
17,0.395410,0.988432,0.396205,0.985252,0.01998917,12.6,100,100.0,100,56,66.8,79,64,66.6,69,162.4,225.6,246.6,2742.0,10801.0,32.0,0,4.7,14.28,44.2,28.78,28.78,28.79,63.16,0.0,0.0,0.0,1.41,1.49,1.54,8.321,16.949,3.52,6.56
18,0.395956,0.988239,0.391612,0.986064,0.01997564,12.7,76,94.2,100,53,69.8,77,64,65.6,67,201.2,233.1,246.0,2745.0,10801.0,32.0,0,5.0,14.44,43.2,28.77,28.79,28.81,63.16,0.0,0.0,0.0,1.47,1.56,1.82,8.321,16.949,3.5,6.71
19,0.393305,0.988588,0.402221,0.982324,0.01995671,12.9,78,93.8,100,42,61.2,73,62,65.2,68,152.5,223.76,245.2,2736.0,10801.0,32.0,0,5.0,14.14,43.1,28.82,28.82,28.82,63.16,0.0,0.0,0.0,2.13,2.46,2.88,8.321,16.949,3.63,6.67
20,0.391313,0.989434,0.392143,0.985534,0.01993238,12.8,84,95.2,100,40,58.0,78,63,65.0,67,145.5,222.92,246.3,2745.0,10801.0,32.0,0,5.3,14.56,43.4,28.79,28.8,28.81,63.16,0.0,0.0,0.01,1.49,1.66,2.19,8.321,16.949,3.62,6.67
21,0.389934,0.989901,0.387949,0.987193,0.01990268,12.6,93,98.0,100,49,59.8,71,63,65.2,68,128.8,217.46,244.9,2742.0,10801.0,32.0,0,5.5,15.44,44.2,28.79,28.79,28.8,63.16,0.0,0.0,0.0,1.39,1.48,1.55,8.321,16.949,3.47,6.59
22,0.388995,0.989957,0.390991,0.986311,0.01986762,12.7,97,99.2,100,60,63.6,69,64,66.0,68,164.4,226.04,245.4,2733.0,10801.0,32.2,0,5.3,14.88,43.3,28.81,28.81,28.81,63.16,0.0,0.0,0.0,2.24,2.49,2.98,8.321,16.949,3.65,6.57
23,0.387349,0.990337,0.395069,0.985464,0.01982721,12.7,100,100.0,100,59,71.0,77,63,65.4,67,202.9,233.54,244.7,2736.0,10801.0,32.2,0,7.5,15.78,43.2,28.78,28.8,28.81,63.16,0.0,0.0,0.01,1.5,1.66,2.23,8.321,16.949,3.66,6.58
24,0.386048,0.990711,0.389356,0.986628,0.01978148,12.8,94,98.2,100,49,55.8,65,62,66.6,68,147.8,224.64,246.6,2742.0,10801.0,32.2,0,5.2,14.34,44.0,28.8,28.8,28.81,63.16,0.0,0.04,0.2,1.36,1.68,2.51,8.321,16.949,3.54,6.66
25,0.385250,0.990941,0.393278,0.985287,0.01973045,12.7,97,99.4,100,45,52.6,71,63,66.0,68,183.9,228.26,246.9,2742.0,10801.0,32.4,0,5.2,14.66,43.3,28.79,28.8,28.82,63.16,0.0,0.0,0.0,1.38,1.51,1.63,8.321,16.949,3.63,6.61
26,0.385201,0.991122,0.398778,0.983135,0.01967415,12.6,97,99.4,100,60,64.0,69,65,66.4,68,162.9,225.8,245.8,2736.0,10801.0,32.4,0,5.0,14.52,43.5,28.62,28.63,28.63,63.16,0.0,0.0,0.0,1.49,1.62,1.89,8.321,16.949,3.48,6.59
27,0.385369,0.990779,0.389310,0.987440,0.01961262,12.6,93,98.6,100,46,58.0,77,64,65.8,69,146.0,223.42,247.2,2733.0,10801.0,32.6,0,5.3,14.02,43.2,28.62,28.63,28.63,63.16,0.0,0.0,0.01,1.41,1.5,1.56,8.321,16.949,3.46,6.61
28,0.383060,0.991489,0.389737,0.986769,0.01954588,12.8,97,99.4,100,50,53.6,66,63,65.6,67,186.1,231.3,247.1,2742.0,10801.0,32.6,0,5.6,14.94,43.2,28.6,28.62,28.63,63.16,0.0,0.0,0.0,1.35,1.49,1.54,8.321,16.949,3.63,6.64
29,0.382615,0.991477,0.391836,0.986240,0.01947397,12.8,97,98.8,100,58,66.2,73,62,66.2,68,140.4,219.02,244.1,2730.0,10801.0,32.6,0,5.9,14.36,43.3,28.62,28.62,28.63,63.16,0.0,0.0,0.0,1.48,1.58,1.76,8.321,16.949,3.59,6.68
30,0.382423,0.991551,0.389290,0.987298,0.01939693,12.7,97,99.4,100,51,61.4,68,65,66.8,69,164.8,226.14,246.9,2742.0,10801.0,33.0,0,5.3,13.9,42.1,28.61,28.62,28.62,63.16,0.0,0.0,0.0,1.35,1.49,1.55,8.321,16.949,3.6,6.64
31,0.380642,0.992211,0.389420,0.986628,0.01931480,12.7,100,100.0,100,46,61.4,83,63,66.8,71,111.7,213.88,244.9,2736.0,10801.0,33.0,0,5.1,15.56,44.3,28.6,28.6,28.6,63.16,0.0,0.0,0.0,1.36,1.49,1.58,8.321,16.949,3.56,6.65
32,0.381958,0.991595,0.393005,0.984970,0.01922763,12.6,98,99.6,100,44,52.6,75,65,66.8,69,196.8,231.66,246.3,2742.0,10801.0,33.0,0,4.8,13.74,43.2,28.59,28.6,28.61,63.16,0.0,0.0,0.0,1.49,1.57,1.82,8.321,16.949,3.57,6.58
33,0.380798,0.992199,0.390523,0.986381,0.01913546,12.7,97,98.8,100,52,64.6,74,64,66.4,68,130.0,218.82,245.1,2733.0,10801.0,32.6,0,5.1,13.86,42.9,28.59,28.59,28.6,63.16,0.0,0.0,0.0,1.46,1.51,1.58,8.321,16.949,3.58,6.66
34,0.379240,0.992603,0.390631,0.986840,0.01903834,12.7,100,100.0,100,50,63.6,74,63,64.8,67,106.6,212.46,244.3,2739.0,10801.0,33.0,0,5.0,15.14,44.6,28.57,28.58,28.58,63.16,0.0,0.0,0.0,1.38,1.48,1.58,8.321,16.949,3.59,6.55
35,0.379138,0.992361,0.386312,0.987828,0.01893633,12.6,100,100.0,100,51,63.2,75,63,67.4,69,142.8,222.72,247.3,2733.0,10801.0,32.6,0,5.1,13.98,42.3,28.57,28.58,28.59,63.16,0.0,0.0,0.0,1.51,1.59,1.82,8.321,16.949,3.57,6.58
36,0.379023,0.992454,0.390244,0.986875,0.01882948,12.6,93,98.0,100,44,53.8,68,63,65.8,68,142.7,222.36,243.1,2739.0,10801.0,33.2,0,5.3,15.44,43.4,28.6,28.62,28.63,63.16,0.0,0.0,0.0,2.24,2.5,3.01,8.321,16.949,3.51,6.57
37,0.378831,0.992323,0.388291,0.986734,0.01871785,12.7,60,91.2,100,43,56.2,67,64,66.2,67,188.0,229.1,245.5,2736.0,10801.0,33.0,0,5.7,14.76,42.6,28.58,28.58,28.59,63.16,0.0,0.0,0.0,1.47,1.57,1.78,8.321,16.949,3.58,6.66
38,0.378133,0.992392,0.390844,0.986663,0.01860149,12.7,96,98.4,100,61,64.2,69,66,66.8,68,161.9,225.14,245.3,2739.0,10801.0,33.4,0,5.4,14.78,43.1,28.57,28.59,28.6,63.16,0.0,0.0,0.0,0.22,1.34,1.83,8.321,16.949,3.52,6.59
39,0.376601,0.993077,0.388630,0.986981,0.01848048,12.7,98,99.6,100,52,71.4,81,64,65.8,68,200.2,232.64,246.0,2742.0,10801.0,33.0,0,4.7,14.24,43.4,28.59,28.59,28.59,63.16,0.0,0.0,0.0,1.47,1.51,1.57,8.321,16.949,3.53,6.65
40,0.375819,0.993375,0.390984,0.986134,0.01835488,12.6,96,99.2,100,46,52.2,62,65,67.4,69,184.8,228.98,245.9,2733.0,10801.0,33.0,0,4.7,14.08,42.9,28.59,28.59,28.6,63.16,0.0,0.0,0.0,1.43,1.49,1.53,8.321,16.949,3.43,6.66
41,0.375940,0.993338,0.390132,0.986910,0.01822475,12.8,97,98.8,100,60,67.6,72,65,67.0,69,140.8,219.38,244.2,2730.0,10801.0,33.0,0,4.8,14.2,42.8,28.58,28.59,28.6,63.16,0.0,0.0,0.0,0.1,1.31,1.75,8.321,16.949,3.59,6.68
42,0.375129,0.993450,0.390443,0.986346,0.01809017,12.6,99,99.8,100,61,71.8,76,64,65.8,67,200.7,231.66,244.4,2730.0,10801.0,33.0,0,4.9,13.72,42.8,28.58,28.59,28.59,63.16,0.0,0.0,0.0,1.34,1.51,1.58,8.321,16.949,3.51,6.62
43,0.375329,0.993257,0.391078,0.986663,0.01795121,12.7,89,96.2,100,43,59.8,77,64,66.4,69,146.0,223.64,247.1,2739.0,10801.0,32.8,0,5.0,14.08,42.7,28.6,28.6,28.6,63.16,0.0,0.0,0.0,1.34,1.49,1.58,8.321,16.949,3.62,6.65
44,0.375150,0.993512,0.391481,0.985746,0.01780794,12.8,97,99.4,100,51,59.6,70,65,67.0,69,187.8,229.36,246.1,2730.0,10801.0,33.2,0,5.6,14.12,42.8,28.6,28.6,28.6,63.16,0.0,0.0,0.0,0.11,1.28,1.8,8.321,16.949,3.58,6.68
45,0.374749,0.993456,0.392006,0.986134,0.01766045,12.5,97,99.4,100,61,62.8,68,65,66.2,68,166.2,225.76,245.4,2742.0,10801.0,33.0,0,5.7,14.58,43.9,28.57,28.6,28.61,63.16,0.0,0.0,0.0,1.38,1.5,1.58,8.321,16.949,3.43,6.62
46,0.375127,0.993357,0.387695,0.987475,0.01750880,12.7,99,99.8,100,55,68.8,78,61,65.8,69,143.5,223.38,246.9,2736.0,10801.0,33.0,0,5.8,15.68,44.0,28.57,28.6,28.61,63.16,0.0,0.0,0.01,1.43,1.67,1.93,8.321,16.949,3.54,6.57
47,0.373655,0.993917,0.386051,0.987651,0.01735309,12.8,96,99.2,100,44,51.4,69,63,66.0,68,183.6,227.72,244.8,2730.0,10801.0,33.0,0,6.8,15.54,44.7,28.63,28.65,28.68,63.16,0.02,0.7,1.63,1.57,1.91,2.24,8.321,16.949,3.55,6.66
48,0.373341,0.993930,0.388464,0.987193,0.01719340,12.9,93,97.8,100,51,59.8,70,64,66.2,68,125.4,216.64,245.2,2745.0,10801.0,33.0,0,7.9,16.8,44.1,28.74,28.81,29.04,63.16,0.17,8.98,29.83,3.72,13.59,28.09,8.321,16.949,3.53,6.57
49,0.373253,0.993830,0.389903,0.986840,0.01702981,12.8,93,98.6,100,44,58.0,79,63,66.0,69,122.2,215.26,244.4,2736.0,10801.0,33.2,0,8.3,18.14,47.7,28.67,28.68,28.69,63.16,4.26,6.42,9.42,1.93,8.6,34.74,8.321,16.949,3.61,6.6
50,0.372084,0.994359,0.392029,0.985817,0.01686242,12.9,98,99.6,100,55,63.4,69,64,66.8,69,167.0,226.18,245.0,2733.0,10801.0,32.4,0,5.7,15.4,44.7,28.65,28.67,28.68,63.16,0.05,0.1,0.21,1.69,1.89,2.07,8.321,16.949,3.5,6.66
51,0.371844,0.994197,0.386925,0.988110,0.01669131,12.5,99,99.8,100,58,66.2,72,63,65.6,69,115.7,214.32,244.6,2739.0,10801.0,33.0,0,5.8,15.86,44.4,28.66,28.66,28.67,63.16,0.0,0.03,0.08,1.55,1.62,1.76,8.321,16.949,3.45,6.6
52,0.371725,0.994147,0.389521,0.987440,0.01651658,12.7,97,99.0,100,46,55.4,71,64,66.4,68,145.4,221.92,245.6,2730.0,10801.0,33.2,0,6.1,15.22,43.7,28.65,28.66,28.68,63.16,0.0,0.0,0.0,0.04,1.29,1.81,8.321,16.949,3.6,6.65
53,0.371337,0.994309,0.389659,0.987651,0.01633831,12.7,96,98.6,100,47,56.8,67,63,65.8,68,125.1,218.36,246.0,2745.0,10801.0,33.0,0,6.8,16.56,44.0,28.65,28.66,28.66,63.16,0.0,0.13,0.45,1.53,1.84,2.47,8.321,16.949,3.52,6.58
54,0.370238,0.994789,0.390057,0.987193,0.01615662,12.7,97,98.8,100,50,58.2,68,65,66.2,68,176.4,227.44,245.0,2733.0,10801.0,33.2,0,5.5,14.56,42.8,28.63,28.64,28.64,63.16,0.0,0.0,0.0,1.41,1.52,1.62,8.321,16.949,3.62,6.6
55,0.370568,0.994546,0.389508,0.987263,0.01597159,12.7,100,100.0,100,45,61.2,82,65,66.8,69,122.5,216.4,245.4,2733.0,10801.0,33.2,0,5.2,13.94,42.7,28.64,28.65,28.65,63.16,0.0,0.0,0.0,0.03,1.29,1.79,8.321,16.949,3.55,6.66
56,0.370617,0.994322,0.390529,0.987051,0.01578333,12.6,98,99.6,100,45,62.4,72,64,66.4,68,199.5,231.38,243.9,2736.0,10801.0,33.2,0,5.2,14.0,43.7,28.63,28.64,28.64,63.16,0.0,0.0,0.0,1.5,1.6,1.82,8.321,16.949,3.47,6.66
57,0.370127,0.994795,0.391122,0.986487,0.01559193,12.5,86,94.6,100,45,60.0,71,65,66.6,69,182.5,229.98,246.1,2733.0,10801.0,33.4,0,5.5,14.98,44.6,28.63,28.65,28.65,63.16,0.0,0.0,0.0,1.38,1.5,1.54,8.321,16.949,3.47,6.58
58,0.369483,0.994963,0.389404,0.987369,0.01539751,12.6,97,99.0,100,58,61.6,64,66,67.6,70,162.9,226.1,246.4,2733.0,10801.0,33.2,0,5.5,14.6,43.3,28.63,28.63,28.64,63.16,0.0,0.0,0.0,1.41,1.53,1.62,8.321,16.949,3.5,6.58
59,0.369162,0.995200,0.390827,0.986663,0.01520017,12.5,97,99.4,100,61,68.6,78,63,66.6,70,142.7,221.6,244.7,2733.0,10801.0,33.4,0,4.8,14.32,44.6,28.61,28.62,28.63,63.16,0.0,0.0,0.0,0.0,1.29,1.86,8.321,16.949,3.44,6.59
60,0.368366,0.995181,0.388052,0.987369,0.01500001,12.5,97,98.8,100,50,57.0,67,64,66.4,68,126.2,217.0,246.6,2739.0,10801.0,33.4,0,5.1,14.36,43.9,28.62,28.62,28.62,63.16,0.0,0.0,0.0,1.42,1.51,1.63,8.321,16.949,3.49,6.56
61,0.367706,0.995287,0.392638,0.986699,0.01479714,12.7,98,99.6,100,61,66.0,70,63,65.8,67,166.4,225.94,244.2,2730.0,10801.0,33.2,0,4.9,14.3,44.3,28.61,28.61,28.62,63.16,0.0,0.0,0.0,1.34,1.49,1.58,8.321,16.949,3.61,6.64
62,0.367735,0.995368,0.392113,0.986311,0.01459167,12.7,98,99.2,100,45,64.4,83,66,67.0,69,114.5,214.9,245.5,2736.0,10801.0,33.0,0,4.7,13.86,43.0,28.61,28.62,28.62,63.16,0.0,0.0,0.0,0.0,1.27,1.8,8.321,16.949,3.57,6.67
