epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,3.256360,0.056421,3.172793,0.186466,0.00014000,65.2,96,98.2,100,74,85.4,95,56,59.2,63,204.6,217.56,222.9,2745.0,10801.0,30.0,0,6.7,13.86,23.3,28.53,28.55,28.56,63.16,0.0,0.06,0.27,0.11,0.42,0.99,10.786,13.713,58.99,3.31
2,2.748382,0.215845,1.983123,0.503616,0.00028000,21.0,94,97.4,100,72,82.0,93,61,62.4,64,199.2,216.16,222.4,2745.0,10801.0,30.0,0,6.9,19.9,42.6,28.65,28.69,28.72,63.16,0.0,0.06,0.19,5.05,5.88,6.52,10.787,13.719,15.04,3.02
3,1.137972,0.768260,0.493376,0.970187,0.00042000,20.9,96,98.0,100,74,84.6,93,62,62.8,65,214.3,220.44,223.8,2745.0,10801.0,30.8,0,6.1,19.42,42.8,28.66,28.72,28.81,63.16,0.0,0.0,0.02,3.8,5.66,7.77,10.788,13.719,14.99,2.92
4,0.526665,0.956386,0.425775,0.978725,0.00056000,20.7,96,97.8,100,73,82.4,93,63,64.6,67,221.0,223.14,226.2,2745.0,10801.0,32.0,0,6.2,20.52,43.6,28.67,28.69,28.71,63.16,0.0,0.03,0.05,4.02,5.92,7.61,10.788,13.719,15.06,2.68
5,0.465530,0.969144,0.418771,0.978690,0.00070000,20.9,94,98.2,100,75,90.8,100,63,65.4,69,212.5,221.48,226.4,2730.0,10801.0,33.0,0,6.9,20.62,44.6,28.62,28.65,28.68,63.16,0.0,0.02,0.08,4.2,5.75,7.47,10.788,13.721,15.02,2.94
6,0.446546,0.972798,0.406142,0.981336,0.00084000,20.8,96,97.2,100,80,89.2,94,64,65.4,67,221.3,223.84,225.2,2730.0,10801.0,34.0,0,5.8,19.86,45.9,28.63,28.65,28.68,63.16,0.0,0.01,0.06,3.79,5.77,7.68,10.787,13.721,14.92,2.92
7,0.436552,0.974392,0.403583,0.982430,0.00098000,20.9,95,99.0,100,76,88.4,100,65,67.2,70,223.5,225.06,227.6,2730.0,10801.0,34.0,0,7.2,20.4,43.4,28.67,28.71,28.74,63.16,0.0,0.09,0.31,3.88,5.92,7.38,10.787,13.721,15.2,2.78
8,0.426626,0.977337,0.401131,0.982923,0.00099995,20.7,94,97.6,100,75,88.0,100,66,66.8,68,221.6,225.28,227.1,2730.0,10801.0,35.0,0,6.3,19.88,45.2,28.61,28.68,28.75,63.16,0.0,0.01,0.04,3.55,5.95,8.2,10.788,13.721,14.83,2.92
9,0.420850,0.978582,0.397041,0.984017,0.00099977,20.9,96,98.4,100,74,87.0,100,65,67.2,70,224.6,226.26,229.1,2730.0,10801.0,35.0,0,7.0,20.3,44.2,28.6,28.65,28.69,63.16,0.0,0.0,0.02,3.62,6.26,10.04,10.789,13.721,14.96,3.01
10,0.415941,0.980151,0.399423,0.983453,0.00099946,20.9,96,97.8,100,66,81.8,94,66,67.8,71,224.0,226.04,228.3,2730.0,10801.0,35.0,0,7.6,21.02,44.2,28.59,28.64,28.67,63.16,0.0,0.0,0.0,3.9,5.85,7.22,10.789,13.721,15.06,2.9
