epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.522624,0.584382,1.022529,0.833486,0.00100000,43.6,6,26.8,32,2,12.4,15,48,51.2,52,51.5,55.74,56.8,2565.0,10801.0,30.0,0,6.9,8.4,11.5,24.2,24.2,24.21,63.16,0.0,0.0,0.01,0.0,0.06,0.28,9.865,12.186,42.83,0.42
2,0.576739,0.939013,0.339484,0.989021,0.00100000,0.9,5,5.0,5,2,2.0,2,51,51.0,51,102.6,102.6,102.6,2760.0,10801.0,30.0,0,4.1,15.22,44.4,24.35,24.36,24.36,63.16,0.0,0.12,0.58,0.0,7.0,33.27,9.865,12.186,0.34,0.23
3,0.431869,0.968538,0.327118,0.990851,0.00100000,0.9,4,4.0,4,1,1.0,1,54,54.0,54,110.2,110.2,110.2,2760.0,10801.0,30.0,0,5.1,17.2,46.6,24.33,24.33,24.34,63.16,0.0,0.0,0.0,0.0,14.88,74.23,9.865,12.186,0.36,0.24
4,0.386735,0.978380,0.323572,0.994511,0.00100000,0.9,7,7.0,7,2,2.0,2,50,50.0,50,110.2,110.2,110.2,2760.0,10801.0,30.0,0,5.0,17.14,51.8,24.34,24.34,24.35,63.16,0.0,0.0,0.0,0.0,0.0,0.0,9.865,12.186,0.34,0.26
5,0.377442,0.981607,0.323724,0.994511,0.00100000,0.9,1,1.0,1,2,2.0,2,50,50.0,50,111.3,111.3,111.3,2760.0,10801.0,30.0,0,9.9,21.14,50.9,24.34,24.35,24.35,63.16,0.0,0.0,0.0,0.0,0.0,0.0,9.865,12.186,0.33,0.23
6,0.369292,0.982898,0.319844,0.994511,0.00100000,0.9,17,17.6,20,9,9.4,11,51,53.4,54,110.6,111.74,116.3,2760.0,10801.0,30.0,0,3.4,14.5,50.6,24.34,24.35,24.35,63.16,0.0,0.0,0.0,0.0,6.39,31.45,9.865,12.186,0.32,0.23
7,0.369661,0.983059,0.317703,0.993596,0.00100000,0.9,0,31.2,39,2,16.4,20,52,53.6,54,113.0,115.24,115.8,2760.0,10801.0,30.0,0,7.7,18.24,47.7,24.35,24.35,24.36,63.16,0.0,0.0,0.0,0.0,0.2,1.02,9.865,12.186,0.33,0.23
8,0.360894,0.985479,0.316476,0.993596,0.00100000,0.9,10,27.4,39,6,14.4,20,56,56.4,57,111.1,113.98,115.9,2760.0,10801.0,30.0,0,4.1,15.2,50.3,24.28,24.28,24.28,63.16,0.0,0.0,0.0,0.0,0.0,0.0,9.865,12.186,0.35,0.22
9,0.354856,0.987093,0.319030,0.994511,0.00100000,0.9,23,45.2,60,13,23.2,30,52,54.0,57,112.2,116.28,119.0,2754.0,10801.0,30.0,0,7.2,17.16,50.9,24.26,24.27,24.28,63.16,0.0,0.0,0.0,0.0,6.28,31.41,9.865,12.186,0.33,0.22
10,0.350155,0.987738,0.316575,0.993596,0.00100000,0.9,46,56.8,64,23,30.8,36,56,57.2,58,117.0,117.88,119.2,2751.0,10801.0,30.0,0,7.9,19.1,49.7,24.27,24.28,24.28,63.16,0.0,0.0,0.0,0.0,15.62,76.99,9.865,12.186,0.35,0.23
