epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.315344,0.632661,0.376160,0.982111,0.00853333,66.3,92,96.0,100,50,57.6,67,54,58.0,62,234.2,238.36,244.8,2748.0,10801.0,30.0,0,14.1,34.86,49.6,29.32,29.33,29.35,63.16,0.0,0.01,0.02,0.1,0.15,0.21,3.59,6.199,47.81,17.82
2,0.410115,0.961207,0.319881,0.990889,0.01706667,19.8,92,95.4,100,53,59.0,64,60,61.4,63,237.7,241.78,247.1,2745.0,10801.0,30.0,0,15.3,43.84,56.6,29.37,29.4,29.42,63.16,0.0,0.01,0.03,1.75,2.49,3.2,3.59,7.48,1.65,17.55
3,0.369218,0.973352,0.310353,0.991222,0.01999903,19.7,90,96.0,100,57,61.0,63,63,64.2,67,239.2,241.74,247.5,2745.0,10801.0,30.4,0,15.9,43.94,56.1,29.39,29.41,29.42,63.16,0.0,0.02,0.05,1.59,2.44,3.7,3.59,7.48,1.68,17.47
4,0.355099,0.978224,0.305244,0.993444,0.01999379,19.7,92,94.6,98,54,59.6,65,64,65.2,66,239.5,243.6,248.4,2745.0,10801.0,32.2,0,15.7,44.2,56.2,29.38,29.41,29.42,63.16,0.0,0.02,0.05,1.68,2.43,3.19,3.59,7.48,1.66,17.47
5,0.347220,0.980533,0.306130,0.992444,0.01998403,19.9,93,95.6,100,52,57.0,66,63,65.6,67,241.9,243.54,248.8,2739.0,10801.0,33.6,0,15.8,43.22,55.9,29.37,29.4,29.41,63.16,0.0,0.01,0.03,1.51,2.38,3.57,3.59,7.48,1.74,17.59
6,0.340398,0.982538,0.298579,0.994333,0.01996976,19.9,92,96.0,100,49,57.8,62,65,67.8,70,241.7,244.48,250.0,2733.0,10801.0,35.0,0,15.7,44.16,56.6,29.34,29.37,29.39,63.16,0.0,0.0,0.02,0.13,2.13,5.81,3.59,7.48,1.65,17.63
7,0.335708,0.984092,0.298460,0.995000,0.01995097,19.9,92,95.6,100,51,57.0,61,67,68.4,70,242.3,245.68,251.4,2730.0,10801.0,36.0,0,15.8,43.46,55.3,29.38,29.4,29.42,63.16,0.0,0.0,0.0,1.7,2.49,3.53,3.59,7.48,1.71,17.6
8,0.332238,0.985278,0.298801,0.994667,0.01992767,19.9,93,96.6,100,51,59.6,64,68,69.6,71,243.7,245.6,251.2,2730.0,10801.0,36.0,0,15.4,43.48,55.8,29.37,29.4,29.43,63.16,0.0,0.01,0.04,1.57,2.38,3.54,3.59,7.48,1.7,17.62
9,0.330344,0.985822,0.302604,0.992556,0.01989989,20.0,92,95.2,100,58,61.0,64,68,69.8,71,243.1,246.5,252.4,2733.0,10801.0,37.0,0,15.6,43.5,55.7,29.33,29.36,29.38,63.16,0.0,0.0,0.0,0.05,2.13,5.88,3.59,7.48,1.74,17.63
10,0.326833,0.986961,0.295133,0.995889,0.01986762,19.8,92,95.2,100,48,56.0,62,68,70.2,72,244.9,246.52,251.6,2730.0,10801.0,37.0,0,16.7,43.66,55.9,29.33,29.35,29.37,63.16,0.0,0.0,0.01,0.02,2.11,5.83,3.59,7.48,1.63,17.59
11,0.325511,0.987220,0.293077,0.996667,0.01983088,19.9,92,94.6,100,52,54.4,61,67,68.8,72,241.0,245.68,251.7,2730.0,10801.0,38.0,0,15.2,43.34,56.0,29.37,29.39,29.43,63.16,0.0,0.94,4.51,1.51,2.48,3.63,3.59,7.48,1.72,17.63
12,0.324099,0.987829,0.294381,0.996222,0.01978969,19.9,92,96.2,100,49,56.2,60,66,69.2,71,238.3,245.76,252.7,2730.0,10801.0,38.0,0,15.7,43.34,56.2,29.37,29.38,29.39,63.16,0.0,0.02,0.05,2.12,2.84,4.35,3.59,7.48,1.75,17.59
13,0.322523,0.988383,0.293875,0.996111,0.01974407,20.0,91,94.6,97,54,59.2,65,68,70.6,73,243.1,246.84,252.7,2730.0,10801.0,38.8,0,15.7,43.18,55.9,29.34,29.35,29.36,63.16,0.0,0.01,0.04,0.07,2.11,5.67,3.59,7.48,1.79,17.63
14,0.321599,0.988547,0.297763,0.995667,0.01969405,20.0,92,94.6,100,50,56.6,64,69,70.4,71,243.9,246.78,252.8,2730.0,10801.0,38.6,0,15.5,43.78,56.4,29.35,29.37,29.4,63.16,0.0,0.01,0.05,0.1,2.16,5.88,3.59,7.48,1.69,17.6
15,0.320053,0.989138,0.293440,0.996333,0.01963963,19.7,91,95.4,100,53,61.2,69,68,71.0,73,244.7,247.32,252.9,2730.0,10801.0,39.0,0,15.3,43.94,56.1,29.36,29.37,29.39,63.16,0.0,0.0,0.0,0.28,2.16,6.38,3.59,7.48,1.61,17.49
16,0.318961,0.989591,0.302399,0.993000,0.01958085,19.9,95,96.4,100,58,61.8,66,71,71.8,73,244.9,247.2,251.8,2730.0,10801.0,39.0,0,16.4,43.52,55.2,29.34,29.36,29.39,63.16,0.0,0.02,0.05,0.15,2.13,5.86,3.59,7.48,1.7,17.59
17,0.316838,0.990175,0.293423,0.996778,0.01951773,19.9,92,93.4,97,49,55.4,58,69,71.4,73,243.7,247.3,253.0,2730.0,10801.0,39.0,0,15.8,43.6,56.5,29.35,29.37,29.39,63.16,0.0,0.01,0.03,0.11,2.11,5.77,3.59,7.48,1.72,17.59
18,0.316140,0.990397,0.297227,0.994333,0.01945031,19.8,95,95.6,96,53,60.8,67,68,71.4,73,244.2,248.44,253.4,2730.0,10801.0,39.0,0,16.0,43.66,56.4,29.34,29.35,29.37,63.16,0.0,0.01,0.02,0.05,2.17,5.85,3.59,7.48,1.72,17.49
19,0.315812,0.990772,0.291834,0.997333,0.01937860,19.9,95,97.0,100,54,59.8,65,71,72.0,73,245.7,248.08,253.2,2730.0,10801.0,39.0,0,16.9,44.14,56.2,29.35,29.36,29.37,63.16,0.0,0.0,0.01,0.11,2.15,5.87,3.59,7.48,1.65,17.6
20,0.314441,0.991122,0.291307,0.997556,0.01930265,19.9,83,94.4,98,53,58.4,65,70,72.0,74,245.5,247.86,254.3,2730.0,10801.0,39.0,0,15.5,43.48,55.9,29.37,29.4,29.41,63.16,0.0,0.01,0.02,1.74,2.37,3.16,3.59,7.48,1.66,17.63
21,0.313835,0.991168,0.291014,0.997000,0.01922249,19.8,92,94.2,97,50,55.6,62,69,70.6,72,244.9,247.72,253.8,2730.0,10801.0,40.0,0,16.0,43.62,56.1,29.37,29.39,29.4,63.16,0.0,0.0,0.02,1.52,2.4,3.62,3.59,7.48,1.63,17.62
22,0.313698,0.991270,0.295104,0.995111,0.01913816,19.8,92,95.8,100,58,60.4,63,69,72.0,74,244.8,248.32,253.4,2730.0,10801.0,40.2,0,14.9,43.76,55.9,29.37,29.39,29.4,63.16,0.0,0.0,0.0,1.71,2.4,3.13,3.59,7.48,1.66,17.59
23,0.312163,0.991736,0.291516,0.996778,0.01904969,20.0,92,94.6,100,51,59.4,69,71,71.8,73,244.9,248.14,253.9,2730.0,10801.0,40.0,0,16.4,43.64,55.9,29.34,29.36,29.38,63.16,0.0,0.0,0.0,0.09,2.13,5.8,3.59,7.48,1.76,17.63
24,0.311116,0.991872,0.293232,0.996333,0.01895712,19.9,92,93.8,97,52,58.0,66,71,72.4,74,246.0,248.34,254.2,2730.0,10801.0,40.6,0,14.8,43.32,56.1,29.35,29.36,29.38,63.16,0.0,0.0,0.01,0.06,2.1,5.83,3.59,7.48,1.63,17.66
25,0.310134,0.992370,0.301148,0.992889,0.01886050,19.9,88,92.6,97,48,55.4,64,69,71.4,72,245.4,247.64,254.0,2730.0,10801.0,41.0,0,17.1,44.06,56.1,29.35,29.37,29.39,63.16,0.0,0.01,0.04,0.06,2.17,5.83,3.59,7.48,1.7,17.62
26,0.309926,0.992537,0.296058,0.994556,0.01875986,20.0,91,93.6,97,52,57.2,63,69,71.8,73,245.3,247.76,253.7,2730.0,10801.0,40.2,0,16.6,43.84,55.9,29.34,29.36,29.38,63.16,0.0,0.0,0.02,0.06,2.1,5.78,3.59,7.48,1.76,17.62
27,0.309356,0.992421,0.291235,0.996556,0.01865526,19.9,92,94.2,97,52,56.6,62,70,71.2,73,243.7,248.04,254.2,2730.0,10801.0,40.0,0,15.5,43.26,56.3,29.34,29.35,29.36,63.16,0.0,0.04,0.2,0.16,2.6,6.68,3.59,7.48,1.68,17.67
28,0.309411,0.992569,0.289480,0.997667,0.01854675,19.8,92,94.2,97,50,58.6,66,69,71.2,73,242.8,247.88,253.1,2730.0,10801.0,40.0,0,15.3,43.86,56.2,29.35,29.36,29.37,63.16,0.0,0.01,0.02,0.13,2.13,6.41,3.59,7.48,1.65,17.58
29,0.308855,0.992805,0.289141,0.997778,0.01843436,19.9,92,93.8,97,48,57.4,64,69,71.0,74,246.6,248.76,253.4,2730.0,10801.0,41.0,0,15.5,43.6,56.3,29.36,29.39,29.41,63.16,0.0,0.01,0.03,1.53,2.39,3.52,3.59,7.48,1.66,17.62
30,0.307006,0.993257,0.293621,0.995778,0.01831816,20.0,92,96.2,100,51,57.6,62,70,71.4,72,245.9,248.04,252.7,2730.0,10801.0,41.0,0,15.7,43.38,56.7,29.37,29.39,29.41,63.16,0.0,0.01,0.05,1.67,2.39,3.27,3.59,7.48,1.7,17.67
31,0.307302,0.993220,0.291392,0.997000,0.01819819,19.9,92,94.4,100,48,58.6,64,70,71.8,74,245.3,247.84,253.0,2730.0,10801.0,41.0,0,16.4,43.6,55.8,29.33,29.36,29.39,63.16,0.0,0.02,0.06,0.1,2.13,6.33,3.59,7.48,1.71,17.64
32,0.307882,0.993074,0.297567,0.994222,0.01807451,19.9,92,95.4,100,51,57.8,63,70,72.0,73,244.3,247.68,253.4,2730.0,10801.0,40.4,0,15.4,43.56,56.4,29.33,29.36,29.37,63.16,0.0,0.01,0.02,0.12,2.14,5.83,3.59,7.48,1.7,17.64
33,0.306618,0.993243,0.290213,0.997556,0.01794718,20.1,92,95.2,98,50,55.6,59,71,72.2,73,245.4,248.34,253.1,2730.0,10801.0,40.8,0,16.0,43.5,56.2,29.36,29.37,29.38,63.16,0.0,0.02,0.07,0.13,2.15,5.85,3.59,7.48,1.76,17.61
34,0.305258,0.993810,0.287663,0.998444,0.01781624,19.9,90,92.0,95,48,58.4,64,69,71.0,74,246.8,248.78,253.0,2730.0,10801.0,40.4,0,15.4,43.48,55.6,29.35,29.38,29.42,63.16,0.0,0.0,0.0,0.1,2.37,7.57,3.59,7.48,1.66,17.62
35,0.305253,0.993753,0.292302,0.996556,0.01768177,19.9,90,95.0,100,47,57.0,63,71,72.2,74,246.6,248.38,253.8,2730.0,10801.0,40.6,0,15.4,43.36,56.2,29.37,29.39,29.4,63.16,0.0,0.0,0.0,1.49,2.37,3.53,3.59,7.48,1.74,17.61
36,0.305441,0.993630,0.288198,0.997889,0.01754383,19.9,92,97.0,100,51,59.0,64,70,72.8,74,246.0,248.84,253.4,2730.0,10801.0,41.4,0,15.2,44.18,57.8,29.34,29.36,29.38,63.16,0.0,0.01,0.03,0.08,2.12,5.84,3.59,7.48,1.72,17.57
37,0.305559,0.993764,0.287709,0.998111,0.01740246,19.9,92,95.6,100,54,59.8,64,71,72.2,73,246.2,249.32,254.5,2730.0,10801.0,41.4,0,15.8,43.32,56.2,29.34,29.37,29.39,63.16,0.0,0.01,0.02,0.06,2.11,5.81,3.59,7.48,1.76,17.59
38,0.304534,0.993991,0.293455,0.995889,0.01725775,19.9,92,95.4,100,58,60.6,62,72,73.2,75,246.7,249.6,255.1,2730.0,10801.0,42.0,0,15.7,43.72,56.1,29.34,29.37,29.39,63.16,0.0,0.02,0.05,0.03,2.12,5.87,3.59,7.48,1.74,17.6
39,0.303361,0.994331,0.288814,0.997444,0.01710975,19.9,87,95.2,100,48,61.2,66,71,72.8,74,245.0,248.88,254.5,2730.0,10801.0,41.8,0,15.8,43.48,55.5,29.34,29.37,29.39,63.16,0.0,0.0,0.01,0.12,2.12,5.78,3.59,7.48,1.74,17.6
40,0.303434,0.994413,0.290699,0.997000,0.01695853,19.9,92,95.2,100,52,57.6,61,68,70.8,73,246.4,248.58,253.9,2730.0,10801.0,41.4,0,15.8,43.46,56.2,29.33,29.36,29.39,63.16,0.0,0.0,0.01,0.11,2.14,5.84,3.59,7.48,1.64,17.66
41,0.303629,0.994285,0.288602,0.997889,0.01680417,20.0,92,94.4,97,50,59.2,64,70,72.2,73,243.7,248.16,254.0,2730.0,10801.0,41.2,0,15.5,43.44,56.3,29.35,29.37,29.39,63.16,0.0,0.01,0.04,0.09,2.09,5.77,3.59,7.48,1.77,17.63
42,0.303547,0.994232,0.294220,0.995667,0.01664672,19.9,92,95.6,100,55,60.6,64,71,72.4,74,244.3,248.04,254.5,2730.0,10801.0,41.0,0,15.5,43.74,56.6,29.36,29.37,29.39,63.16,0.0,0.01,0.03,0.79,2.6,6.28,3.59,7.48,1.69,17.6
43,0.302181,0.994727,0.290311,0.997222,0.01648626,19.8,94,97.0,100,49,60.2,66,70,71.6,74,247.1,249.16,254.1,2730.0,10801.0,41.0,0,15.8,43.6,56.4,29.35,29.37,29.4,63.16,0.0,0.01,0.04,0.06,2.14,5.86,3.59,7.48,1.61,17.61
44,0.302454,0.994605,0.287963,0.997889,0.01632287,19.9,91,94.0,100,53,59.4,65,71,73.2,75,242.0,247.62,253.5,2730.0,10801.0,41.2,0,15.8,43.76,55.9,29.35,29.36,29.37,63.16,0.0,0.0,0.02,0.05,2.12,5.82,3.59,7.48,1.67,17.6
45,0.302220,0.994628,0.291128,0.996667,0.01615662,19.9,92,93.8,97,53,60.2,65,70,71.2,73,246.5,248.82,253.8,2730.0,10801.0,42.0,0,17.0,44.1,56.2,29.33,29.36,29.38,63.16,0.0,0.0,0.0,0.12,2.1,6.31,3.59,7.48,1.66,17.63
46,0.300939,0.995001,0.288492,0.997444,0.01598758,19.9,92,95.6,97,54,56.8,60,72,73.0,74,243.3,248.02,253.3,2730.0,10801.0,42.0,0,14.9,43.8,56.2,29.34,29.37,29.39,63.16,0.0,0.01,0.03,0.15,2.15,5.83,3.59,7.48,1.63,17.64
47,0.301688,0.994665,0.292636,0.997111,0.01581583,19.8,92,97.2,100,57,62.4,68,71,72.8,74,246.3,248.7,254.1,2730.0,10801.0,42.0,0,15.5,43.94,55.9,29.31,29.35,29.38,63.16,0.0,0.01,0.02,0.09,2.15,5.88,3.59,7.48,1.66,17.55
48,0.300690,0.995188,0.289034,0.997444,0.01564144,20.0,91,97.2,100,54,61.0,68,70,72.6,74,245.7,249.1,253.7,2730.0,10801.0,42.0,0,15.9,43.6,55.9,29.34,29.36,29.37,63.16,0.0,0.01,0.03,0.09,2.12,5.84,3.59,7.48,1.74,17.62
49,0.300856,0.995216,0.291069,0.996444,0.01546450,19.9,92,94.8,97,51,59.0,67,72,72.8,74,246.6,249.48,254.6,2730.0,10801.0,42.0,0,15.7,44.1,55.5,29.34,29.36,29.38,63.16,0.0,0.01,0.02,0.07,2.13,5.88,3.59,7.48,1.68,17.59
