epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,2.304484,0.095353,2.297859,0.162855,0.00003200,46.7,32,60.2,79,2,5.6,11,44,45.6,48,31.3,48.34,73.9,2760.0,10801.0,30.0,0,12.1,14.7,18.6,24.88,24.88,24.88,63.16,0.0,0.01,0.06,0.0,0.12,0.29,0.738,4.273,45.5,1.15
2,2.302795,0.101000,2.297863,0.162855,0.00006400,1.0,7,36.4,56,2,12.2,19,43,43.6,44,99.1,102.1,106.6,2760.0,10801.0,30.0,0,8.0,19.88,39.8,25.04,25.05,25.06,63.16,0.0,0.0,0.0,0.0,14.5,69.86,0.738,4.273,0.36,0.55
3,2.303403,0.099548,2.297013,0.162855,0.00009600,1.0,30,37.2,39,8,12.8,14,45,46.6,47,103.2,105.6,106.2,2760.0,10801.0,30.0,0,7.3,22.06,52.1,25.04,25.05,25.05,63.16,0.0,0.0,0.0,0.0,12.3,61.51,0.738,4.273,0.35,0.56
4,2.300471,0.105034,2.293443,0.163769,0.00012800,1.0,15,22.6,34,6,8.4,12,47,47.0,47,101.7,102.18,102.5,2760.0,10801.0,30.0,0,11.4,22.1,48.5,25.04,25.06,25.07,63.16,0.0,0.0,0.0,0.0,0.09,0.43,0.738,4.273,0.38,0.57
5,2.295894,0.097289,2.281991,0.165599,0.00016000,1.0,6,22.8,48,2,7.6,16,43,44.2,46,103.5,104.94,105.9,2760.0,10801.0,30.0,0,9.4,18.68,46.2,25.04,25.05,25.05,63.16,0.0,0.02,0.11,0.0,0.11,0.57,0.738,4.273,0.33,0.57
6,2.262116,0.119393,2.148027,0.232388,0.00019200,1.0,10,34.6,51,3,12.0,18,44,45.2,46,103.9,106.26,109.8,2760.0,10801.0,30.0,0,14.2,22.2,44.8,25.04,25.05,25.05,63.16,0.0,0.0,0.0,0.0,7.78,37.98,0.738,4.273,0.35,0.58
7,2.230820,0.152791,2.104668,0.344922,0.00022400,1.1,37,45.2,52,12,14.8,18,45,46.6,48,102.3,104.2,105.6,2760.0,10801.0,30.0,0,11.1,19.2,49.8,25.06,25.1,25.11,63.16,0.0,0.0,0.0,0.0,7.81,39.04,0.745,4.277,0.37,0.64
8,2.192570,0.186673,2.010868,0.397987,0.00025600,1.0,7,25.0,37,2,6.8,10,43,46.6,49,100.3,104.1,109.8,2760.0,10801.0,30.0,0,12.8,22.12,55.1,25.12,25.13,25.14,63.16,0.0,0.16,0.81,0.0,24.68,62.51,0.745,4.277,0.35,0.6
9,2.137754,0.261052,1.949314,0.452882,0.00028800,1.0,21,33.8,37,5,12.2,14,45,46.6,47,103.6,104.3,107.1,2760.0,10801.0,30.0,0,9.0,19.74,44.3,25.11,25.12,25.13,63.16,0.0,0.0,0.0,0.0,16.69,71.01,0.745,4.277,0.34,0.56
10,2.048799,0.318651,1.633332,0.461116,0.00032000,1.0,17,24.0,52,7,9.2,18,46,47.6,48,104.0,104.16,104.8,2760.0,10801.0,30.0,0,11.5,21.62,44.7,25.12,25.13,25.13,63.16,0.0,0.0,0.0,0.0,13.93,68.38,0.745,4.277,0.35,0.59
