epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s,cuda_util_pct_min,cuda_util_pct_avg,cuda_util_pct_max,cuda_mem_util_pct_min,cuda_mem_util_pct_avg,cuda_mem_util_pct_max,gpu_temp_c_min,gpu_temp_c_avg,gpu_temp_c_max,gpu_power_w_min,gpu_power_w_avg,gpu_power_w_max,gpu_clock_sm_mhz_avg,gpu_clock_mem_mhz_avg,gpu_fan_pct_avg,gpu_throttled_any,cpu_pct_min,cpu_pct_avg,cpu_pct_max,ram_used_gb_min,ram_used_gb_avg,ram_used_gb_max,ram_total_gb,disk_read_mb_s_min,disk_read_mb_s_avg,disk_read_mb_s_max,disk_write_mb_s_min,disk_write_mb_s_avg,disk_write_mb_s_max,vram_peak_alloc_gb,vram_peak_reserved_gb,data_wait_s,compute_s
1,1.091471,0.394427,1.112043,0.075834,0.00064000,45.9,46,89.2,100,25,70.6,82,40,41.0,45,22.4,28.56,53.2,783.0,2484.2,0.0,0,4.3,8.2,12.5,23.95,23.95,23.95,63.16,0.0,0.01,0.07,0.0,0.31,0.97,1.689,2.59,44.38,0.73
2,1.062969,0.457932,1.123194,0.080969,0.00128000,3.5,4,35.8,57,2,20.0,32,40,41.2,42,30.6,38.28,43.4,1761.0,8481.0,0.0,0,3.7,16.56,51.0,23.98,23.99,24.0,63.16,0.0,0.0,0.0,0.0,0.4,1.09,1.689,2.59,2.26,0.43
3,0.987866,0.558804,0.962599,0.662804,0.00192000,3.6,1,42.4,70,2,22.4,36,40,41.2,42,30.6,35.52,38.8,1068.0,5001.0,0.0,0,6.2,16.36,52.2,23.99,23.99,24.0,63.16,0.0,0.27,1.32,0.0,0.73,2.76,1.689,2.59,2.28,0.51
4,0.887523,0.618796,0.725621,0.719142,0.00256000,3.5,3,35.0,43,2,18.8,23,40,40.8,41,31.0,36.76,38.2,2148.0,9641.0,0.0,0,4.1,15.4,52.8,24.0,24.0,24.01,63.16,0.0,0.0,0.01,0.0,0.2,0.51,1.689,2.59,2.28,0.38
5,0.788015,0.658562,0.752133,0.671408,0.00320000,3.5,0,56.0,70,2,18.8,23,41,41.8,42,35.0,35.1,35.5,2145.0,9641.0,0.0,0,4.8,15.9,52.3,24.0,24.0,24.01,63.16,0.0,0.01,0.04,0.0,0.3,0.93,1.689,2.59,2.3,0.42
6,0.701879,0.700580,0.681101,0.726844,0.00384000,3.6,3,71.0,88,2,26.0,32,41,41.8,42,33.5,34.38,34.6,519.0,5001.0,0.0,0,5.8,20.32,53.3,24.0,24.01,24.02,63.16,0.0,0.0,0.0,0.0,0.09,0.43,1.689,2.59,2.32,0.43
7,0.633830,0.735180,0.809189,0.639492,0.00399937,3.4,0,27.0,45,1,15.4,25,42,44.4,46,45.3,52.5,57.3,2691.0,10801.0,0.0,0,4.4,15.44,55.8,24.01,24.01,24.02,63.16,0.0,0.0,0.0,0.0,0.19,0.95,1.689,2.59,2.27,0.26
8,0.580886,0.771762,0.635586,0.741414,0.00399656,3.4,3,33.0,53,3,19.2,30,41,42.8,44,33.2,37.7,40.7,1731.0,8481.0,0.0,0,4.8,16.62,52.7,24.03,24.03,24.03,63.16,0.0,0.0,0.0,0.0,0.17,0.78,1.689,2.59,2.24,0.4
9,0.536828,0.801526,0.652544,0.692708,0.00399190,3.6,0,75.2,94,3,38.2,47,41,42.6,43,36.4,39.04,39.7,1338.0,5001.0,0.0,0,5.1,19.06,54.7,24.03,24.03,24.04,63.16,0.0,0.07,0.36,0.0,0.11,0.56,1.689,2.59,2.24,0.52
10,0.496786,0.832378,0.423474,0.884549,0.00398526,3.4,3,41.4,51,3,23.0,28,42,42.0,42,37.6,40.72,41.5,2151.0,9641.0,0.0,0,15.1,25.94,55.6,24.02,24.04,24.06,63.16,0.0,0.0,0.0,0.0,0.2,0.61,1.689,2.59,2.25,0.39
